[1518, 1075]
[headline, [141.0, 247.0, 818.0, 37.5], -xYh6j-H6B, 5722203]
[unordered-list, [110.0, 351.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 387.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 423.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 459.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 495.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 531.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 567.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 603.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 639.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 675.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 711.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 747.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 783.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 819.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 855.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 891.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 927.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 963.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 999.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 1035.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 1071.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 1107.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 1143.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 1179.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 1215.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 1251.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [110.0, 1287.0, 430.0, 36.0], hsgKzvhjm-, 5722203]
[unordered-list, [550.0, 351.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 387.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 423.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 459.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 495.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 531.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 567.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 603.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 639.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 675.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 711.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 747.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 783.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 819.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 855.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 891.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 927.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 963.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 999.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 1035.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 1071.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 1107.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 1143.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 1179.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 1215.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
[unordered-list, [550.0, 1251.0, 442.0, 36.0], h4hPXWAHEJ, 5722203]
