[842, 596]
[ordered-list, [71.0, 52.0, 456.0, 18.0], shoonya_2s3IA8HUITYOIT, 5658071]
[ordered-list, [71.0, 70.0, 456.0, 18.0], shoonya_2s3IA8HUITYOIT, 5658071]
[ordered-list, [71.0, 88.0, 456.0, 18.0], shoonya_2s3IA8HUITYOIT, 5658071]
[ordered-list, [71.0, 106.0, 456.0, 18.0], shoonya_2s3IA8HUITYOIT, 5658071]
[ordered-list, [71.0, 124.0, 456.0, 18.0], shoonya_2s3IA8HUITYOIT, 5658071]
[ordered-list, [71.0, 142.0, 456.0, 18.0], shoonya_2s3IA8HUITYOIT, 5658071]
[section-title, [236.0, 184.0, 151.0, 30.0], pG00Sc6AxV, 5658071]
[ordered-list, [69.0, 260.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 278.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 296.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 314.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 332.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 350.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 368.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 386.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 404.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 422.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 440.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 458.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 476.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 494.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 512.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 530.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 548.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 566.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 584.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 602.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 620.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[ordered-list, [69.0, 638.0, 474.0, 18.0], zmBnFKyMko, 5658071]
[sub-ordered-list, [115.0, 284.0, 114.0, 18.0], shoonya_0sJ33483C765XA, 5658071]
[sub-ordered-list, [115.0, 302.0, 114.0, 18.0], shoonya_0sJ33483C765XA, 5658071]
[sub-ordered-list, [115.0, 320.0, 114.0, 18.0], shoonya_0sJ33483C765XA, 5658071]
[sub-ordered-list, [115.0, 338.0, 114.0, 18.0], shoonya_0sJ33483C765XA, 5658071]
[sub-ordered-list, [115.0, 404.0, 417.0, 18.0], 7sTFTFGIOr, 5658071]
[sub-ordered-list, [115.0, 422.0, 417.0, 18.0], 7sTFTFGIOr, 5658071]
[sub-ordered-list, [115.0, 440.0, 417.0, 18.0], 7sTFTFGIOr, 5658071]
[sub-ordered-list, [115.0, 458.0, 417.0, 18.0], 7sTFTFGIOr, 5658071]
[sub-ordered-list, [115.0, 476.0, 417.0, 18.0], 7sTFTFGIOr, 5658071]
[sub-ordered-list, [115.0, 494.0, 417.0, 18.0], 7sTFTFGIOr, 5658071]
[sub-ordered-list, [115.0, 512.0, 417.0, 18.0], 7sTFTFGIOr, 5658071]
[sub-ordered-list, [115.0, 530.0, 417.0, 18.0], 7sTFTFGIOr, 5658071]
[sub-ordered-list, [115.0, 548.0, 417.0, 18.0], 7sTFTFGIOr, 5658071]
[sub-section-title, [287.0, 681.0, 53.0, 25.5], Vj7-GU3zYF, 5658071]
[footnote, [73.0, 770.0, 474.0, 18.0], PctKGW_01P, 5658071]
[footnote, [73.0, 788.0, 474.0, 18.0], PctKGW_01P, 5658071]
