[2339, 1653]
[paragraph, [437.0, 209.0, 976.0, 36.0], agMXYAUUlw, 5687218]
[paragraph, [233.0, 282.0, 1182.0, 36.0], shoonya_0sD4OK2IVGGMIV, 5687218]
[paragraph, [233.0, 318.0, 1182.0, 36.0], shoonya_0sD4OK2IVGGMIV, 5687218]
[paragraph, [233.0, 354.0, 1182.0, 36.0], shoonya_0sD4OK2IVGGMIV, 5687218]
[paragraph, [233.0, 390.0, 1182.0, 36.0], shoonya_0sD4OK2IVGGMIV, 5687218]
[paragraph, [233.0, 426.0, 1182.0, 36.0], shoonya_0sD4OK2IVGGMIV, 5687218]
[paragraph, [233.0, 462.0, 1182.0, 36.0], shoonya_0sD4OK2IVGGMIV, 5687218]
[paragraph, [233.0, 498.0, 1182.0, 36.0], shoonya_0sD4OK2IVGGMIV, 5687218]
[paragraph, [233.0, 686.0, 1183.0, 36.0], shoonya_2s5XOZU4U4A6YT, 5687218]
[paragraph, [233.0, 722.0, 1183.0, 36.0], shoonya_2s5XOZU4U4A6YT, 5687218]
[paragraph, [233.0, 758.0, 1183.0, 36.0], shoonya_2s5XOZU4U4A6YT, 5687218]
[paragraph, [233.0, 794.0, 1183.0, 36.0], shoonya_2s5XOZU4U4A6YT, 5687218]
[paragraph, [233.0, 830.0, 1183.0, 36.0], shoonya_2s5XOZU4U4A6YT, 5687218]
[paragraph, [233.0, 866.0, 1183.0, 36.0], shoonya_2s5XOZU4U4A6YT, 5687218]
[paragraph, [233.0, 902.0, 1183.0, 36.0], shoonya_2s5XOZU4U4A6YT, 5687218]
[paragraph, [234.0, 988.0, 879.0, 36.0], e00gqB6iSU, 5687218]
[reference, [1119.0, 991.0, 289.0, 36.0], 0lzBST-nGL, 5687218]
[reference, [234.0, 1067.0, 301.0, 36.0], cCbUdrmA4h, 5687218]
[paragraph, [236.0, 1140.0, 1177.0, 36.0], shoonya_1s0VLDZFBFB6XT, 5687218]
[paragraph, [236.0, 1176.0, 1177.0, 36.0], shoonya_1s0VLDZFBFB6XT, 5687218]
[paragraph, [236.0, 1212.0, 1177.0, 36.0], shoonya_1s0VLDZFBFB6XT, 5687218]
[paragraph, [236.0, 1248.0, 1177.0, 36.0], shoonya_1s0VLDZFBFB6XT, 5687218]
[paragraph, [236.0, 1284.0, 1177.0, 36.0], shoonya_1s0VLDZFBFB6XT, 5687218]
[paragraph, [236.0, 1320.0, 1177.0, 36.0], shoonya_1s0VLDZFBFB6XT, 5687218]
[paragraph, [236.0, 1356.0, 1177.0, 36.0], shoonya_1s0VLDZFBFB6XT, 5687218]
[paragraph, [236.0, 1392.0, 1177.0, 36.0], shoonya_1s0VLDZFBFB6XT, 5687218]
[paragraph, [236.0, 1428.0, 1177.0, 36.0], shoonya_1s0VLDZFBFB6XT, 5687218]
[paragraph, [234.0, 1514.0, 1182.0, 36.0], shoonya_3sQI4O6XTWI2OR, 5687218]
[paragraph, [234.0, 1550.0, 1182.0, 36.0], shoonya_3sQI4O6XTWI2OR, 5687218]
[paragraph, [234.0, 1586.0, 1182.0, 36.0], shoonya_3sQI4O6XTWI2OR, 5687218]
[paragraph, [234.0, 1622.0, 1182.0, 36.0], shoonya_3sQI4O6XTWI2OR, 5687218]
[paragraph, [234.0, 1658.0, 1182.0, 36.0], shoonya_3sQI4O6XTWI2OR, 5687218]
[paragraph, [234.0, 1694.0, 1182.0, 36.0], shoonya_3sQI4O6XTWI2OR, 5687218]
[paragraph, [234.0, 1730.0, 1182.0, 36.0], shoonya_3sQI4O6XTWI2OR, 5687218]
[section-title, [244.0, 1841.0, 484.0, 52.5], shoonya_6s2UJQ4CUDJ1XK, 5687218]
[paragraph, [240.0, 1918.0, 1174.0, 36.0], shoonya_4sLP8UCD3QH41M, 5687218]
[paragraph, [240.0, 1954.0, 1174.0, 36.0], shoonya_4sLP8UCD3QH41M, 5687218]
[paragraph, [240.0, 1990.0, 1174.0, 36.0], shoonya_4sLP8UCD3QH41M, 5687218]
