[1806, 1262]
[folio, [165.0, 95.0, 516.0, 36.0], shoonya_0sUPJ8SV550BI8, 5680697]
[paragraph, [93.0, 173.0, 508.0, 36.0], shoonya_3sNN6ZLOHKYETE, 5680697]
[paragraph, [93.0, 209.0, 508.0, 36.0], shoonya_3sNN6ZLOHKYETE, 5680697]
[paragraph, [93.0, 245.0, 508.0, 36.0], shoonya_3sNN6ZLOHKYETE, 5680697]
[paragraph, [93.0, 281.0, 508.0, 36.0], shoonya_3sNN6ZLOHKYETE, 5680697]
[paragraph, [93.0, 317.0, 508.0, 36.0], shoonya_3sNN6ZLOHKYETE, 5680697]
[paragraph, [657.0, 178.0, 509.0, 36.0], s5u5grwfik, 5680697]
[paragraph, [657.0, 214.0, 509.0, 36.0], s5u5grwfik, 5680697]
[paragraph, [657.0, 250.0, 509.0, 36.0], s5u5grwfik, 5680697]
[paragraph, [656.0, 328.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 364.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 400.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 436.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 472.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 508.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 544.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 580.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 616.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 652.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 688.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 724.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 760.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 796.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [656.0, 832.0, 509.0, 36.0], S_4UfEvCPV, 5680697]
[paragraph, [91.0, 359.0, 509.0, 36.0], shoonya_4sACVUQVW057ZX, 5680697]
[paragraph, [91.0, 395.0, 509.0, 36.0], shoonya_4sACVUQVW057ZX, 5680697]
[paragraph, [91.0, 431.0, 509.0, 36.0], shoonya_4sACVUQVW057ZX, 5680697]
