[1267, 753]
[folio, [332.0, 74.0, 94.0, 18.0], VkPnFM8C8o, 5700212]
[paragraph, [83.0, 120.0, 590.0, 18.0], shoonya_1s4EQ1KUBF3ZX3, 5700212]
[paragraph, [83.0, 138.0, 590.0, 18.0], shoonya_1s4EQ1KUBF3ZX3, 5700212]
[paragraph, [83.0, 156.0, 590.0, 18.0], shoonya_1s4EQ1KUBF3ZX3, 5700212]
[paragraph, [83.0, 174.0, 590.0, 18.0], shoonya_1s4EQ1KUBF3ZX3, 5700212]
[paragraph, [83.0, 192.0, 590.0, 18.0], shoonya_1s4EQ1KUBF3ZX3, 5700212]
[paragraph, [83.0, 210.0, 590.0, 18.0], shoonya_1s4EQ1KUBF3ZX3, 5700212]
[paragraph, [83.0, 228.0, 590.0, 18.0], shoonya_1s4EQ1KUBF3ZX3, 5700212]
[ordered-list, [83.0, 259.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 277.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 295.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 313.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 331.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 349.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 367.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 385.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 403.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 421.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 439.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 457.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 475.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 493.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 511.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 529.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 547.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 565.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 583.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 601.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 619.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 637.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 655.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 673.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 691.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 709.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 727.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 745.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 763.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 781.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 799.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 817.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 835.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 853.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 871.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 889.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 907.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 925.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 943.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 961.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 979.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 997.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 1015.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 1033.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 1051.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 1069.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 1087.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 1105.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 1123.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 1141.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 1159.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
[ordered-list, [83.0, 1177.0, 592.0, 18.0], shoonya_0sYCMGI033ZCFQ, 5700212]
