[576, 360]
[folio, [159.0, 29.0, 143.0, 18.0], pNOvrmZYJP, 6517106]
[paragraph, [28.0, 63.0, 305.0, 18.0], shoonya_1sLZ5SEIYADDGH, 6517106]
[paragraph, [28.0, 81.0, 305.0, 18.0], shoonya_1sLZ5SEIYADDGH, 6517106]
[paragraph, [28.0, 99.0, 305.0, 18.0], shoonya_1sLZ5SEIYADDGH, 6517106]
[paragraph, [32.0, 151.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [32.0, 169.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [32.0, 187.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [32.0, 205.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [32.0, 223.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [32.0, 241.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [32.0, 259.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [32.0, 277.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [32.0, 295.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [32.0, 313.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [32.0, 331.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [32.0, 349.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [32.0, 367.0, 298.0, 18.0], shoonya_0s5BEE0JDDTLVF, 6517106]
[paragraph, [31.0, 391.0, 298.0, 18.0], shoonya_3s9OLIMY9U3JPX, 6517106]
[paragraph, [31.0, 409.0, 298.0, 18.0], shoonya_3s9OLIMY9U3JPX, 6517106]
[paragraph, [31.0, 427.0, 298.0, 18.0], shoonya_3s9OLIMY9U3JPX, 6517106]
[paragraph, [31.0, 445.0, 298.0, 18.0], shoonya_3s9OLIMY9U3JPX, 6517106]
[paragraph, [31.0, 463.0, 298.0, 18.0], shoonya_3s9OLIMY9U3JPX, 6517106]
[paragraph, [31.0, 481.0, 298.0, 18.0], shoonya_3s9OLIMY9U3JPX, 6517106]
