[2484, 1767]
[paragraph, [296.0, 414.0, 1257.0, 36.0], shoonya_2sS79LSD01GK54, 5754044]
[paragraph, [296.0, 450.0, 1257.0, 36.0], shoonya_2sS79LSD01GK54, 5754044]
[paragraph, [296.0, 486.0, 1257.0, 36.0], shoonya_2sS79LSD01GK54, 5754044]
[paragraph, [296.0, 522.0, 1257.0, 36.0], shoonya_2sS79LSD01GK54, 5754044]
[paragraph, [296.0, 558.0, 1257.0, 36.0], shoonya_2sS79LSD01GK54, 5754044]
[paragraph, [296.0, 594.0, 1257.0, 36.0], shoonya_2sS79LSD01GK54, 5754044]
[paragraph, [296.0, 630.0, 1257.0, 36.0], shoonya_2sS79LSD01GK54, 5754044]
[paragraph, [297.0, 687.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 723.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 759.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 795.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 831.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 867.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 903.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 939.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 975.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1011.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1047.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1083.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1119.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1155.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1191.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1227.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1263.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1299.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1335.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1371.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1407.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1443.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1479.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1515.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1551.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1587.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1623.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[paragraph, [297.0, 1659.0, 1269.0, 36.0], shoonya_0s6FU9GKHG6FOY, 5754044]
[section-title, [305.0, 1720.0, 173.0, 52.5], shoonya_3s8XU01MXP9YYV, 5754044]
[paragraph, [296.0, 1819.0, 1266.0, 36.0], shoonya_1sAA08ISAEAZZR, 5754044]
[paragraph, [296.0, 1855.0, 1266.0, 36.0], shoonya_1sAA08ISAEAZZR, 5754044]
[paragraph, [296.0, 1891.0, 1266.0, 36.0], shoonya_1sAA08ISAEAZZR, 5754044]
[paragraph, [296.0, 1927.0, 1266.0, 36.0], shoonya_1sAA08ISAEAZZR, 5754044]
[paragraph, [296.0, 1963.0, 1266.0, 36.0], shoonya_1sAA08ISAEAZZR, 5754044]
[paragraph, [296.0, 1999.0, 1266.0, 36.0], shoonya_1sAA08ISAEAZZR, 5754044]
[paragraph, [296.0, 2035.0, 1266.0, 36.0], shoonya_1sAA08ISAEAZZR, 5754044]
[paragraph, [296.0, 2071.0, 1266.0, 36.0], shoonya_1sAA08ISAEAZZR, 5754044]
[paragraph, [296.0, 2107.0, 1266.0, 36.0], shoonya_1sAA08ISAEAZZR, 5754044]
