[1004, 650]
[paragraph, [59.0, 105.0, 531.0, 18.0], tEprQ5y3bP, 5741002]
[paragraph, [59.0, 123.0, 531.0, 18.0], tEprQ5y3bP, 5741002]
[paragraph, [59.0, 141.0, 531.0, 18.0], tEprQ5y3bP, 5741002]
[paragraph, [59.0, 159.0, 531.0, 18.0], tEprQ5y3bP, 5741002]
[paragraph, [61.0, 175.0, 531.0, 18.0], Pi-jf8_wwK, 5741002]
[paragraph, [61.0, 193.0, 531.0, 18.0], Pi-jf8_wwK, 5741002]
[paragraph, [61.0, 211.0, 531.0, 18.0], Pi-jf8_wwK, 5741002]
[paragraph, [61.0, 229.0, 531.0, 18.0], Pi-jf8_wwK, 5741002]
[paragraph, [61.0, 247.0, 531.0, 18.0], Pi-jf8_wwK, 5741002]
[paragraph, [62.0, 274.0, 526.0, 18.0], yWA7V3hmZY, 5741002]
[paragraph, [62.0, 292.0, 526.0, 18.0], yWA7V3hmZY, 5741002]
[paragraph, [62.0, 310.0, 526.0, 18.0], yWA7V3hmZY, 5741002]
[paragraph, [62.0, 328.0, 526.0, 18.0], yWA7V3hmZY, 5741002]
[paragraph, [62.0, 346.0, 526.0, 18.0], yWA7V3hmZY, 5741002]
[paragraph, [62.0, 364.0, 526.0, 18.0], yWA7V3hmZY, 5741002]
[paragraph, [62.0, 382.0, 526.0, 18.0], yWA7V3hmZY, 5741002]
[paragraph, [110.0, 413.0, 405.0, 18.0], yFVPDU45cr, 5741002]
[paragraph, [113.0, 445.0, 187.0, 18.0], rdtbkCc26H, 5741002]
[paragraph, [57.0, 473.0, 538.0, 18.0], hF9ZPyDjel, 5741002]
[paragraph, [57.0, 491.0, 538.0, 18.0], hF9ZPyDjel, 5741002]
[paragraph, [57.0, 509.0, 538.0, 18.0], hF9ZPyDjel, 5741002]
[paragraph, [57.0, 527.0, 538.0, 18.0], hF9ZPyDjel, 5741002]
[paragraph, [57.0, 545.0, 538.0, 18.0], hF9ZPyDjel, 5741002]
[paragraph, [57.0, 563.0, 538.0, 18.0], hF9ZPyDjel, 5741002]
[paragraph, [57.0, 581.0, 538.0, 18.0], hF9ZPyDjel, 5741002]
[paragraph, [58.0, 611.0, 530.0, 18.0], hi6_e6Cmxb, 5741002]
[paragraph, [58.0, 629.0, 530.0, 18.0], hi6_e6Cmxb, 5741002]
[paragraph, [58.0, 647.0, 530.0, 18.0], hi6_e6Cmxb, 5741002]
[paragraph, [58.0, 665.0, 530.0, 18.0], hi6_e6Cmxb, 5741002]
[paragraph, [55.0, 681.0, 532.0, 18.0], 1bzbGtcDDE, 5741002]
[paragraph, [55.0, 699.0, 532.0, 18.0], 1bzbGtcDDE, 5741002]
[paragraph, [55.0, 717.0, 532.0, 18.0], 1bzbGtcDDE, 5741002]
[paragraph, [55.0, 735.0, 532.0, 18.0], 1bzbGtcDDE, 5741002]
[paragraph, [55.0, 753.0, 532.0, 18.0], 1bzbGtcDDE, 5741002]
[paragraph, [107.0, 777.0, 376.0, 18.0], uaF_-tNkia, 5741002]
[paragraph, [51.0, 810.0, 544.0, 18.0], FPOQjKXJd9, 5741002]
[paragraph, [51.0, 828.0, 544.0, 18.0], FPOQjKXJd9, 5741002]
[paragraph, [51.0, 846.0, 544.0, 18.0], FPOQjKXJd9, 5741002]
[paragraph, [51.0, 864.0, 544.0, 18.0], FPOQjKXJd9, 5741002]
[paragraph, [51.0, 882.0, 544.0, 18.0], FPOQjKXJd9, 5741002]
[paragraph, [51.0, 900.0, 544.0, 18.0], FPOQjKXJd9, 5741002]
[paragraph, [51.0, 918.0, 544.0, 18.0], FPOQjKXJd9, 5741002]
[footnote, [348.0, 964.0, 248.0, 18.0], MbA0Qz2fJb, 5741002]
