[2339, 1653]
[folio, [233.0, 332.0, 165.0, 36.0], F6vgEuMsk3, 5736207]
[folio, [1163.0, 334.0, 247.0, 36.0], qqhMOlCP0B, 5736207]
[sidebar, [1427.0, 385.0, 143.0, 36.0], shoonya_8sJBOXZURDY21C, 5736207]
[paragraph, [237.0, 386.0, 580.0, 36.0], shoonya_5sCKSJP9GS1SAJ, 5736207]
[paragraph, [237.0, 422.0, 580.0, 36.0], shoonya_5sCKSJP9GS1SAJ, 5736207]
[paragraph, [237.0, 458.0, 580.0, 36.0], shoonya_5sCKSJP9GS1SAJ, 5736207]
[paragraph, [237.0, 494.0, 580.0, 36.0], shoonya_5sCKSJP9GS1SAJ, 5736207]
[paragraph, [237.0, 530.0, 580.0, 36.0], shoonya_5sCKSJP9GS1SAJ, 5736207]
[paragraph, [237.0, 566.0, 580.0, 36.0], shoonya_5sCKSJP9GS1SAJ, 5736207]
[paragraph, [237.0, 602.0, 580.0, 36.0], shoonya_5sCKSJP9GS1SAJ, 5736207]
[paragraph, [836.0, 389.0, 578.0, 36.0], shoonya_2sPS6CF9PJTTVF, 5736207]
[paragraph, [836.0, 425.0, 578.0, 36.0], shoonya_2sPS6CF9PJTTVF, 5736207]
[paragraph, [836.0, 461.0, 578.0, 36.0], shoonya_2sPS6CF9PJTTVF, 5736207]
[paragraph, [836.0, 497.0, 578.0, 36.0], shoonya_2sPS6CF9PJTTVF, 5736207]
[paragraph, [836.0, 533.0, 578.0, 36.0], shoonya_2sPS6CF9PJTTVF, 5736207]
[paragraph, [836.0, 569.0, 578.0, 36.0], shoonya_2sPS6CF9PJTTVF, 5736207]
[paragraph, [836.0, 605.0, 578.0, 36.0], shoonya_2sPS6CF9PJTTVF, 5736207]
[paragraph, [839.0, 656.0, 575.0, 36.0], shoonya_0sYEDOFWDWTI9I, 5736207]
[paragraph, [839.0, 692.0, 575.0, 36.0], shoonya_0sYEDOFWDWTI9I, 5736207]
[paragraph, [839.0, 728.0, 575.0, 36.0], shoonya_0sYEDOFWDWTI9I, 5736207]
[paragraph, [839.0, 764.0, 575.0, 36.0], shoonya_0sYEDOFWDWTI9I, 5736207]
[paragraph, [839.0, 800.0, 575.0, 36.0], shoonya_0sYEDOFWDWTI9I, 5736207]
[paragraph, [839.0, 836.0, 575.0, 36.0], shoonya_0sYEDOFWDWTI9I, 5736207]
[paragraph, [839.0, 872.0, 575.0, 36.0], shoonya_0sYEDOFWDWTI9I, 5736207]
[paragraph, [839.0, 908.0, 575.0, 36.0], shoonya_0sYEDOFWDWTI9I, 5736207]
[paragraph, [239.0, 657.0, 577.0, 36.0], shoonya_4sSAPUWGHRFK3F, 5736207]
[paragraph, [239.0, 693.0, 577.0, 36.0], shoonya_4sSAPUWGHRFK3F, 5736207]
[paragraph, [239.0, 729.0, 577.0, 36.0], shoonya_4sSAPUWGHRFK3F, 5736207]
[paragraph, [239.0, 765.0, 577.0, 36.0], shoonya_4sSAPUWGHRFK3F, 5736207]
[paragraph, [238.0, 834.0, 577.0, 36.0], shoonya_1sG3CWJ7JGVH09, 5736207]
[paragraph, [238.0, 870.0, 577.0, 36.0], shoonya_1sG3CWJ7JGVH09, 5736207]
[paragraph, [238.0, 906.0, 577.0, 36.0], shoonya_1sG3CWJ7JGVH09, 5736207]
[paragraph, [238.0, 942.0, 577.0, 36.0], shoonya_1sG3CWJ7JGVH09, 5736207]
[paragraph, [238.0, 978.0, 577.0, 36.0], shoonya_1sG3CWJ7JGVH09, 5736207]
[paragraph, [238.0, 1014.0, 577.0, 36.0], shoonya_1sG3CWJ7JGVH09, 5736207]
[paragraph, [238.0, 1050.0, 577.0, 36.0], shoonya_1sG3CWJ7JGVH09, 5736207]
[paragraph, [238.0, 1086.0, 577.0, 36.0], shoonya_1sG3CWJ7JGVH09, 5736207]
[paragraph, [238.0, 1122.0, 577.0, 36.0], shoonya_1sG3CWJ7JGVH09, 5736207]
[paragraph, [238.0, 1158.0, 577.0, 36.0], shoonya_1sG3CWJ7JGVH09, 5736207]
[paragraph, [238.0, 1194.0, 577.0, 36.0], shoonya_1sG3CWJ7JGVH09, 5736207]
[paragraph, [238.0, 1230.0, 577.0, 36.0], shoonya_1sG3CWJ7JGVH09, 5736207]
[paragraph, [838.0, 968.0, 575.0, 36.0], shoonya_3sIO6C3P2445BT, 5736207]
[paragraph, [838.0, 1004.0, 575.0, 36.0], shoonya_3sIO6C3P2445BT, 5736207]
[paragraph, [838.0, 1040.0, 575.0, 36.0], shoonya_3sIO6C3P2445BT, 5736207]
[paragraph, [838.0, 1076.0, 575.0, 36.0], shoonya_3sIO6C3P2445BT, 5736207]
[paragraph, [838.0, 1112.0, 575.0, 36.0], shoonya_3sIO6C3P2445BT, 5736207]
[paragraph, [838.0, 1148.0, 575.0, 36.0], shoonya_3sIO6C3P2445BT, 5736207]
[paragraph, [838.0, 1184.0, 575.0, 36.0], shoonya_3sIO6C3P2445BT, 5736207]
[paragraph, [838.0, 1220.0, 575.0, 36.0], shoonya_3sIO6C3P2445BT, 5736207]
[paragraph, [234.0, 1279.0, 580.0, 36.0], shoonya_7s5VLHITJXYMBJ, 5736207]
[paragraph, [234.0, 1315.0, 580.0, 36.0], shoonya_7s5VLHITJXYMBJ, 5736207]
[author, [1218.0, 1284.0, 192.0, 36.0], shoonya_9sF3WNKN83WMTJ, 5736207]
[folio, [237.0, 1965.0, 237.0, 36.0], FE3ZOcLmnR, 5736207]
