[1004, 621]
[paragraph, [38.0, 104.0, 539.0, 18.0], shoonya_0sX82KV8IP1K2M, 5741012]
[paragraph, [38.0, 122.0, 539.0, 18.0], shoonya_0sX82KV8IP1K2M, 5741012]
[paragraph, [38.0, 140.0, 539.0, 18.0], shoonya_0sX82KV8IP1K2M, 5741012]
[paragraph, [38.0, 158.0, 539.0, 18.0], shoonya_0sX82KV8IP1K2M, 5741012]
[paragraph, [38.0, 176.0, 539.0, 18.0], shoonya_0sX82KV8IP1K2M, 5741012]
[paragraph, [38.0, 194.0, 539.0, 18.0], shoonya_0sX82KV8IP1K2M, 5741012]
[paragraph, [38.0, 212.0, 539.0, 18.0], shoonya_0sX82KV8IP1K2M, 5741012]
[paragraph, [32.0, 250.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 268.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 286.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 304.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 322.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 340.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 358.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 376.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 394.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 412.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 430.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 448.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 466.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 484.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 502.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 520.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 538.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 556.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [32.0, 574.0, 554.0, 18.0], K48Haq9x6r, 5741012]
[paragraph, [35.0, 601.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 619.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 637.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 655.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 673.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 691.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 709.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 727.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 745.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 763.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 781.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 799.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 817.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 835.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 853.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 871.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 889.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 907.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
[paragraph, [35.0, 925.0, 551.0, 18.0], ZYbjANNGdo, 5741012]
