[1650, 1275]
[paragraph, [239.0, 125.0, 873.0, 36.0], shoonya_2sPM69IWFHPZZ4, 5714683]
[paragraph, [239.0, 161.0, 873.0, 36.0], shoonya_2sPM69IWFHPZZ4, 5714683]
[paragraph, [242.0, 226.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 262.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 298.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 334.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 370.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 406.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 442.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 478.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 514.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 550.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 586.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 622.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 658.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 694.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 730.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 766.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 802.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 838.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 874.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [242.0, 910.0, 867.0, 36.0], shoonya_3sV5E8AJZM0BJM, 5714683]
[paragraph, [243.0, 975.0, 862.0, 36.0], shoonya_4sZPEVM29I88CI, 5714683]
[paragraph, [243.0, 1011.0, 862.0, 36.0], shoonya_4sZPEVM29I88CI, 5714683]
[paragraph, [243.0, 1047.0, 862.0, 36.0], shoonya_4sZPEVM29I88CI, 5714683]
[paragraph, [243.0, 1083.0, 862.0, 36.0], shoonya_4sZPEVM29I88CI, 5714683]
[paragraph, [243.0, 1119.0, 862.0, 36.0], shoonya_4sZPEVM29I88CI, 5714683]
[paragraph, [243.0, 1155.0, 862.0, 36.0], shoonya_4sZPEVM29I88CI, 5714683]
[paragraph, [243.0, 1191.0, 862.0, 36.0], shoonya_4sZPEVM29I88CI, 5714683]
[paragraph, [243.0, 1227.0, 862.0, 36.0], shoonya_4sZPEVM29I88CI, 5714683]
[paragraph, [243.0, 1263.0, 862.0, 36.0], shoonya_4sZPEVM29I88CI, 5714683]
[paragraph, [248.0, 1355.0, 855.0, 36.0], nNqKJQ84mw, 5714683]
[paragraph, [248.0, 1391.0, 855.0, 36.0], nNqKJQ84mw, 5714683]
[paragraph, [248.0, 1427.0, 855.0, 36.0], nNqKJQ84mw, 5714683]
