[1372, 849]
[paragraph, [69.0, 118.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 136.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 154.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 172.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 190.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 208.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 226.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 244.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 262.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 280.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 298.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 316.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 334.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 352.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 370.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 388.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [69.0, 406.0, 736.0, 18.0], shoonya_0s4RWP0I3CZB9R, 5709833]
[paragraph, [63.0, 433.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 451.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 469.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 487.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 505.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 523.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 541.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 559.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 577.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 595.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 613.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 631.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 649.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 667.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 685.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 703.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 721.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 739.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 757.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 775.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 793.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 811.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 829.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 847.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 865.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 883.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 901.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 919.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 937.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 955.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 973.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 991.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1009.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1027.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1045.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1063.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1081.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1099.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1117.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1135.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1153.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1171.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1189.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1207.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1225.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1243.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1261.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
[paragraph, [63.0, 1279.0, 743.0, 18.0], shoonya_1sPMLOILJRWZ4H, 5709833]
