[1787, 1218]
[paragraph, [222.0, 122.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 158.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 194.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 230.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 266.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 302.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 338.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 374.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 410.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 446.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 482.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 518.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 554.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 590.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 626.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 662.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 698.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 734.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 770.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 806.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 842.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [222.0, 878.0, 663.0, 36.0], shoonya_2sCLIV8ZISOKA0, 5651214]
[paragraph, [708.0, 937.0, 180.0, 36.0], shoonya_3sEHZIJ8K1BW98, 5651214]
[paragraph, [142.0, 987.0, 948.0, 36.0], shoonya_0s2LK4VA7QRMS7, 5651214]
[paragraph, [142.0, 1023.0, 948.0, 36.0], shoonya_0s2LK4VA7QRMS7, 5651214]
[paragraph, [137.0, 1055.0, 971.0, 36.0], vKiZVixzuD, 5651214]
[paragraph, [137.0, 1091.0, 971.0, 36.0], vKiZVixzuD, 5651214]
[paragraph, [137.0, 1127.0, 971.0, 36.0], vKiZVixzuD, 5651214]
[paragraph, [137.0, 1163.0, 971.0, 36.0], vKiZVixzuD, 5651214]
[paragraph, [137.0, 1199.0, 971.0, 36.0], vKiZVixzuD, 5651214]
[paragraph, [137.0, 1235.0, 971.0, 36.0], vKiZVixzuD, 5651214]
[paragraph, [137.0, 1271.0, 971.0, 36.0], vKiZVixzuD, 5651214]
[paragraph, [137.0, 1307.0, 971.0, 36.0], vKiZVixzuD, 5651214]
[paragraph, [137.0, 1343.0, 971.0, 36.0], vKiZVixzuD, 5651214]
[paragraph, [137.0, 1379.0, 971.0, 36.0], vKiZVixzuD, 5651214]
[paragraph, [137.0, 1415.0, 971.0, 36.0], vKiZVixzuD, 5651214]
[paragraph, [143.0, 1456.0, 963.0, 36.0], shoonya_1sBY2WGIZKXTBC, 5651214]
[paragraph, [143.0, 1492.0, 963.0, 36.0], shoonya_1sBY2WGIZKXTBC, 5651214]
[paragraph, [143.0, 1528.0, 963.0, 36.0], shoonya_1sBY2WGIZKXTBC, 5651214]
[paragraph, [143.0, 1564.0, 963.0, 36.0], shoonya_1sBY2WGIZKXTBC, 5651214]
