[2338, 1654]
[paragraph, [268.0, 234.0, 1202.0, 36.0], shoonya_2sTPYCD0NZ76BR, 5753721]
[paragraph, [268.0, 270.0, 1202.0, 36.0], shoonya_2sTPYCD0NZ76BR, 5753721]
[paragraph, [268.0, 306.0, 1202.0, 36.0], shoonya_2sTPYCD0NZ76BR, 5753721]
[paragraph, [268.0, 342.0, 1202.0, 36.0], shoonya_2sTPYCD0NZ76BR, 5753721]
[paragraph, [268.0, 378.0, 1202.0, 36.0], shoonya_2sTPYCD0NZ76BR, 5753721]
[paragraph, [268.0, 414.0, 1202.0, 36.0], shoonya_2sTPYCD0NZ76BR, 5753721]
[paragraph, [269.0, 489.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 525.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 561.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 597.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 633.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 669.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 705.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 741.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 777.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 813.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 849.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 885.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 921.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 957.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 993.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 1029.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 1065.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 1101.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 1137.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 1173.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [269.0, 1209.0, 1195.0, 36.0], shoonya_1sR6OG9SM2697Y, 5753721]
[paragraph, [270.0, 1257.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1293.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1329.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1365.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1401.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1437.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1473.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1509.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1545.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1581.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1617.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1653.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1689.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1725.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1761.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1797.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1833.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1869.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1905.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1941.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 1977.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 2013.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
[paragraph, [270.0, 2049.0, 1212.0, 36.0], shoonya_0sOYSDQLDRWU6W, 5753721]
