[1034, 680]
[folio, [227.0, 55.0, 241.0, 18.0], gtMimRlru6, 5739834]
[folio, [227.0, 73.0, 241.0, 18.0], gtMimRlru6, 5739834]
[paragraph, [34.0, 123.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 141.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 159.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 177.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 195.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 213.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 231.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 249.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 267.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 285.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 303.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 321.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 339.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 357.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 375.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 393.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 411.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 429.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 447.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 465.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [34.0, 483.0, 595.0, 18.0], qGwdfMkG_7, 5739834]
[paragraph, [328.0, 515.0, 283.0, 18.0], 5AQjuwN1RV, 5739834]
[paragraph, [52.0, 516.0, 205.0, 18.0], aqU-CqcHc6, 5739834]
[paragraph, [42.0, 549.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 567.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 585.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 603.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 621.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 639.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 657.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 675.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 693.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 711.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 729.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 747.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 765.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 783.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 801.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 819.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 837.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 855.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 873.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 891.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 909.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 927.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 945.0, 592.0, 18.0], J7pEngjBF-, 5739834]
[paragraph, [42.0, 963.0, 592.0, 18.0], J7pEngjBF-, 5739834]
