[1238, 765]
[folio, [305.0, 72.0, 141.0, 18.0], s-egwpnhee, 5770115]
[folio, [305.0, 90.0, 141.0, 18.0], s-egwpnhee, 5770115]
[paragraph, [76.0, 128.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 146.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 164.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 182.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 200.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 218.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 236.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 254.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 272.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 290.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 308.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 326.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 344.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 362.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 380.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 398.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 416.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 434.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 452.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 470.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 488.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 506.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [76.0, 524.0, 304.0, 18.0], shoonya_1sBDMFJKSPJQMY, 5770115]
[paragraph, [386.0, 130.0, 307.0, 18.0], r_R1hn04ip, 5770115]
[paragraph, [386.0, 148.0, 307.0, 18.0], r_R1hn04ip, 5770115]
[paragraph, [386.0, 166.0, 307.0, 18.0], r_R1hn04ip, 5770115]
