[1987, 1270]
[folio, [578.0, 122.0, 104.0, 36.0], shoonya_0sAZ6GG40CC26L, 5682537]
[paragraph, [123.0, 190.0, 1014.0, 36.0], shoonya_3sSBJNDLAAUOUZ, 5682537]
[paragraph, [123.0, 226.0, 1014.0, 36.0], shoonya_3sSBJNDLAAUOUZ, 5682537]
[paragraph, [123.0, 262.0, 1014.0, 36.0], shoonya_3sSBJNDLAAUOUZ, 5682537]
[paragraph, [123.0, 298.0, 1014.0, 36.0], shoonya_3sSBJNDLAAUOUZ, 5682537]
[paragraph, [123.0, 355.0, 1015.0, 36.0], shoonya_4sGTADXRPZX2V6, 5682537]
[paragraph, [123.0, 391.0, 1015.0, 36.0], shoonya_4sGTADXRPZX2V6, 5682537]
[paragraph, [123.0, 427.0, 1015.0, 36.0], shoonya_4sGTADXRPZX2V6, 5682537]
[paragraph, [123.0, 463.0, 1015.0, 36.0], shoonya_4sGTADXRPZX2V6, 5682537]
[paragraph, [123.0, 499.0, 1015.0, 36.0], shoonya_4sGTADXRPZX2V6, 5682537]
[paragraph, [125.0, 562.0, 1015.0, 36.0], shoonya_5s4ZW6LJC4LV2P, 5682537]
[paragraph, [125.0, 598.0, 1015.0, 36.0], shoonya_5s4ZW6LJC4LV2P, 5682537]
[paragraph, [125.0, 634.0, 1015.0, 36.0], shoonya_5s4ZW6LJC4LV2P, 5682537]
[paragraph, [125.0, 670.0, 1015.0, 36.0], shoonya_5s4ZW6LJC4LV2P, 5682537]
[paragraph, [125.0, 721.0, 1014.0, 36.0], shoonya_6sAQ5MATGTRQNZ, 5682537]
[paragraph, [125.0, 757.0, 1014.0, 36.0], shoonya_6sAQ5MATGTRQNZ, 5682537]
[paragraph, [125.0, 793.0, 1014.0, 36.0], shoonya_6sAQ5MATGTRQNZ, 5682537]
[paragraph, [125.0, 829.0, 1014.0, 36.0], shoonya_6sAQ5MATGTRQNZ, 5682537]
[paragraph, [125.0, 865.0, 1014.0, 36.0], shoonya_6sAQ5MATGTRQNZ, 5682537]
[paragraph, [125.0, 901.0, 1014.0, 36.0], shoonya_6sAQ5MATGTRQNZ, 5682537]
[paragraph, [125.0, 937.0, 1014.0, 36.0], shoonya_6sAQ5MATGTRQNZ, 5682537]
[paragraph, [125.0, 973.0, 1014.0, 36.0], shoonya_6sAQ5MATGTRQNZ, 5682537]
[paragraph, [180.0, 1032.0, 622.0, 36.0], shoonya_7sDVQ4YNHX7DPU, 5682537]
[paragraph, [183.0, 1085.0, 677.0, 36.0], shoonya_8s2NXJ3WSW9BA6, 5682537]
[paragraph, [133.0, 1137.0, 1017.0, 36.0], shoonya_9sMERKORIG54WP, 5682537]
[paragraph, [133.0, 1173.0, 1017.0, 36.0], shoonya_9sMERKORIG54WP, 5682537]
[paragraph, [130.0, 1245.0, 1018.0, 36.0], shoonya_10s5JK5VSRKE1Y, 5682537]
[paragraph, [130.0, 1281.0, 1018.0, 36.0], shoonya_10s5JK5VSRKE1Y, 5682537]
[paragraph, [130.0, 1317.0, 1018.0, 36.0], shoonya_10s5JK5VSRKE1Y, 5682537]
[paragraph, [130.0, 1353.0, 1018.0, 36.0], shoonya_10s5JK5VSRKE1Y, 5682537]
[paragraph, [130.0, 1389.0, 1018.0, 36.0], shoonya_10s5JK5VSRKE1Y, 5682537]
[paragraph, [130.0, 1425.0, 1018.0, 36.0], shoonya_10s5JK5VSRKE1Y, 5682537]
[paragraph, [130.0, 1461.0, 1018.0, 36.0], shoonya_10s5JK5VSRKE1Y, 5682537]
[paragraph, [130.0, 1497.0, 1018.0, 36.0], shoonya_10s5JK5VSRKE1Y, 5682537]
[paragraph, [130.0, 1533.0, 1018.0, 36.0], shoonya_10s5JK5VSRKE1Y, 5682537]
[paragraph, [130.0, 1569.0, 1018.0, 36.0], shoonya_10s5JK5VSRKE1Y, 5682537]
[paragraph, [130.0, 1605.0, 1018.0, 36.0], shoonya_10s5JK5VSRKE1Y, 5682537]
[paragraph, [128.0, 1661.0, 1022.0, 36.0], mz1R-hd6qz, 5682537]
[paragraph, [128.0, 1697.0, 1022.0, 36.0], mz1R-hd6qz, 5682537]
[paragraph, [128.0, 1733.0, 1022.0, 36.0], mz1R-hd6qz, 5682537]
[paragraph, [128.0, 1769.0, 1022.0, 36.0], mz1R-hd6qz, 5682537]
[paragraph, [128.0, 1805.0, 1022.0, 36.0], mz1R-hd6qz, 5682537]
