[3509, 2482]
[folio, [892.0, 247.0, 465.0, 52.5], shoonya_1s7B51XBYFPU0I, 5692042]
[paragraph, [294.0, 377.0, 1091.0, 52.5], shoonya_4sEQLAOECPTKJN, 5692042]
[paragraph, [298.0, 457.0, 1040.0, 52.5], Z_XmWy2Ewu, 5692042]
[paragraph, [190.0, 780.0, 1821.0, 52.5], shoonya_0sOF8GB1OFTZT1, 5692042]
[paragraph, [190.0, 832.5, 1821.0, 52.5], shoonya_0sOF8GB1OFTZT1, 5692042]
[paragraph, [190.0, 885.0, 1821.0, 52.5], shoonya_0sOF8GB1OFTZT1, 5692042]
[paragraph, [190.0, 937.5, 1821.0, 52.5], shoonya_0sOF8GB1OFTZT1, 5692042]
[paragraph, [190.0, 990.0, 1821.0, 52.5], shoonya_0sOF8GB1OFTZT1, 5692042]
[paragraph, [190.0, 1042.5, 1821.0, 52.5], shoonya_0sOF8GB1OFTZT1, 5692042]
[paragraph, [190.0, 1095.0, 1821.0, 52.5], shoonya_0sOF8GB1OFTZT1, 5692042]
[paragraph, [190.0, 1147.5, 1821.0, 52.5], shoonya_0sOF8GB1OFTZT1, 5692042]
[paragraph, [190.0, 1200.0, 1821.0, 52.5], shoonya_0sOF8GB1OFTZT1, 5692042]
[paragraph, [190.0, 1252.5, 1821.0, 52.5], shoonya_0sOF8GB1OFTZT1, 5692042]
[paragraph, [190.0, 1305.0, 1821.0, 52.5], shoonya_0sOF8GB1OFTZT1, 5692042]
[paragraph, [181.0, 1402.0, 1827.0, 52.5], Q5HMWvHUrc, 5692042]
[paragraph, [181.0, 1454.5, 1827.0, 52.5], Q5HMWvHUrc, 5692042]
[paragraph, [181.0, 1507.0, 1827.0, 52.5], Q5HMWvHUrc, 5692042]
[paragraph, [181.0, 1559.5, 1827.0, 52.5], Q5HMWvHUrc, 5692042]
[paragraph, [181.0, 1630.0, 1827.0, 52.5], 04sOoftfUw, 5692042]
[paragraph, [181.0, 1682.5, 1827.0, 52.5], 04sOoftfUw, 5692042]
[paragraph, [181.0, 1735.0, 1827.0, 52.5], 04sOoftfUw, 5692042]
[paragraph, [181.0, 1787.5, 1827.0, 52.5], 04sOoftfUw, 5692042]
[paragraph, [181.0, 1840.0, 1827.0, 52.5], 04sOoftfUw, 5692042]
[paragraph, [181.0, 1892.5, 1827.0, 52.5], 04sOoftfUw, 5692042]
[paragraph, [178.0, 1943.0, 1824.0, 52.5], Gwr-TCJXif, 5692042]
[paragraph, [178.0, 1995.5, 1824.0, 52.5], Gwr-TCJXif, 5692042]
[paragraph, [178.0, 2048.0, 1824.0, 52.5], Gwr-TCJXif, 5692042]
[paragraph, [178.0, 2100.5, 1824.0, 52.5], Gwr-TCJXif, 5692042]
[paragraph, [178.0, 2153.0, 1824.0, 52.5], Gwr-TCJXif, 5692042]
[paragraph, [178.0, 2205.5, 1824.0, 52.5], Gwr-TCJXif, 5692042]
[paragraph, [178.0, 2258.0, 1824.0, 52.5], Gwr-TCJXif, 5692042]
[paragraph, [173.0, 2327.0, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [173.0, 2379.5, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [173.0, 2432.0, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [173.0, 2484.5, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [173.0, 2537.0, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [173.0, 2589.5, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [173.0, 2642.0, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [173.0, 2694.5, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [173.0, 2747.0, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [173.0, 2799.5, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [173.0, 2852.0, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [173.0, 2904.5, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [173.0, 2957.0, 1826.0, 52.5], shoonya_2sFMMZI9YHBFC7, 5692042]
[paragraph, [175.0, 3020.0, 1818.0, 52.5], hJmec_GWn-, 5692042]
[paragraph, [175.0, 3072.5, 1818.0, 52.5], hJmec_GWn-, 5692042]
[paragraph, [175.0, 3125.0, 1818.0, 52.5], hJmec_GWn-, 5692042]
[paragraph, [175.0, 3177.5, 1818.0, 52.5], hJmec_GWn-, 5692042]
[paragraph, [175.0, 3230.0, 1818.0, 52.5], hJmec_GWn-, 5692042]
[paragraph, [175.0, 3282.5, 1818.0, 52.5], hJmec_GWn-, 5692042]
