[558, 353]
[folio, [138.0, 44.0, 80.0, 18.0], IJ7-8e4faW, 6458544]
[paragraph, [24.0, 68.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 86.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 104.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 122.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 140.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 158.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 176.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 194.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 212.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 230.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 248.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 266.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 284.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 302.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 320.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 338.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 356.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 374.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 392.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 410.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 428.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 446.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 464.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
[paragraph, [24.0, 482.0, 301.0, 18.0], JY0a7mxTsC, 6458544]
