[1200, 825]
[chapter-title, [329.0, 259.0, 169.0, 30.0], JlEZ4j7CoC, 5691402]
[chapter-title, [329.0, 289.0, 169.0, 30.0], JlEZ4j7CoC, 5691402]
[chapter-title, [329.0, 319.0, 169.0, 30.0], JlEZ4j7CoC, 5691402]
[paragraph, [135.0, 362.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 380.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 398.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 416.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 434.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 452.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 470.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 488.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 506.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 524.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 542.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 560.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 578.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 596.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 614.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 632.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 650.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 668.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 686.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 704.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 722.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 740.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 758.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 776.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 794.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 812.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 830.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 848.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 866.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 884.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [135.0, 902.0, 559.0, 18.0], shoonya_0sH19FKU9RLRF3, 5691402]
[paragraph, [130.0, 934.0, 564.0, 18.0], shoonya_1s5PPPXA68NY6J, 5691402]
[paragraph, [130.0, 952.0, 564.0, 18.0], shoonya_1s5PPPXA68NY6J, 5691402]
[paragraph, [130.0, 970.0, 564.0, 18.0], shoonya_1s5PPPXA68NY6J, 5691402]
[paragraph, [130.0, 988.0, 564.0, 18.0], shoonya_1s5PPPXA68NY6J, 5691402]
[paragraph, [130.0, 1006.0, 564.0, 18.0], shoonya_1s5PPPXA68NY6J, 5691402]
[paragraph, [130.0, 1024.0, 564.0, 18.0], shoonya_1s5PPPXA68NY6J, 5691402]
