[1240, 875]
[paragraph, [71.0, 55.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 73.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 91.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 109.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 127.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 145.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 163.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 181.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 199.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 217.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 235.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 253.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 271.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 289.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 307.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 325.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 343.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 361.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 379.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 397.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 415.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 433.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 451.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 469.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 487.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 505.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 523.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 541.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 559.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 577.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 595.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 613.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 631.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 649.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 667.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 685.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 703.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 721.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 739.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 757.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 775.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 793.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 811.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 829.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 847.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 865.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 883.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 901.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 919.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 937.0, 742.0, 18.0], dqun2C5D7d, 5774191]
[paragraph, [71.0, 955.0, 742.0, 18.0], dqun2C5D7d, 5774191]
