[1754, 1241]
[section-title, [477.0, 429.0, 322.0, 49.5], icpR7MxkRX, 6469552]
[folio, [587.0, 610.0, 96.0, 36.0], EMt5j9x_Lg, 6469552]
[placeholder-text, [294.0, 649.0, 286.0, 18.0], W8HSk5KM4Q, 6469552]
[placeholder-text, [294.0, 667.0, 286.0, 18.0], W8HSk5KM4Q, 6469552]
[placeholder-text, [601.0, 655.0, 373.0, 18.0], tNlfcQY7xS, 6469552]
[placeholder-text, [560.0, 703.0, 148.0, 18.0], WPc8Jj4aJn, 6469552]
[unordered-list, [213.0, 773.0, 840.0, 36.0], shoonya_3s962JI84SJ18M, 6469552]
[unordered-list, [213.0, 809.0, 840.0, 36.0], shoonya_3s962JI84SJ18M, 6469552]
[unordered-list, [213.0, 845.0, 840.0, 36.0], shoonya_3s962JI84SJ18M, 6469552]
[unordered-list, [213.0, 881.0, 840.0, 36.0], shoonya_3s962JI84SJ18M, 6469552]
[unordered-list, [213.0, 917.0, 840.0, 36.0], shoonya_3s962JI84SJ18M, 6469552]
[unordered-list, [220.0, 1048.0, 299.0, 36.0], shoonya_1sUY42EHXTOLPT, 6469552]
[unordered-list, [220.0, 1084.0, 299.0, 36.0], shoonya_1sUY42EHXTOLPT, 6469552]
[unordered-list, [220.0, 1120.0, 299.0, 36.0], shoonya_1sUY42EHXTOLPT, 6469552]
[unordered-list, [220.0, 1156.0, 299.0, 36.0], shoonya_1sUY42EHXTOLPT, 6469552]
[unordered-list, [220.0, 1192.0, 299.0, 36.0], shoonya_1sUY42EHXTOLPT, 6469552]
[unordered-list, [220.0, 1228.0, 299.0, 36.0], shoonya_1sUY42EHXTOLPT, 6469552]
[unordered-list, [220.0, 1264.0, 299.0, 36.0], shoonya_1sUY42EHXTOLPT, 6469552]
[unordered-list, [220.0, 1300.0, 299.0, 36.0], shoonya_1sUY42EHXTOLPT, 6469552]
[unordered-list, [220.0, 1336.0, 299.0, 36.0], shoonya_1sUY42EHXTOLPT, 6469552]
[unordered-list, [221.0, 1382.0, 846.0, 36.0], shoonya_2sDBCCOGZA127V, 6469552]
[unordered-list, [221.0, 1418.0, 846.0, 36.0], shoonya_2sDBCCOGZA127V, 6469552]
[unordered-list, [221.0, 1454.0, 846.0, 36.0], shoonya_2sDBCCOGZA127V, 6469552]
[unordered-list, [221.0, 1490.0, 846.0, 36.0], shoonya_2sDBCCOGZA127V, 6469552]
