[2200, 1700]
[paragraph, [275.0, 74.0, 1120.0, 36.0], u4kcsFIX9n, 5730883]
[paragraph, [275.0, 110.0, 1120.0, 36.0], u4kcsFIX9n, 5730883]
[paragraph, [275.0, 146.0, 1120.0, 36.0], u4kcsFIX9n, 5730883]
[paragraph, [275.0, 182.0, 1120.0, 36.0], u4kcsFIX9n, 5730883]
[paragraph, [275.0, 218.0, 1120.0, 36.0], u4kcsFIX9n, 5730883]
[paragraph, [275.0, 254.0, 1120.0, 36.0], u4kcsFIX9n, 5730883]
[paragraph, [275.0, 290.0, 1120.0, 36.0], u4kcsFIX9n, 5730883]
[paragraph, [275.0, 326.0, 1120.0, 36.0], u4kcsFIX9n, 5730883]
[paragraph, [280.0, 367.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 403.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 439.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 475.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 511.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 547.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 583.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 619.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 655.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 691.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 727.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 763.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 799.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 835.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 871.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 907.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 943.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 979.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1015.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1051.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1087.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1123.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1159.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1195.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1231.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1267.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1303.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1339.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1375.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1411.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1447.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1483.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1519.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1555.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1591.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1627.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1663.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1699.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1735.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1771.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1807.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1843.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1879.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[paragraph, [280.0, 1915.0, 1141.0, 36.0], shoonya_0s6JORY08CIIT1, 5730883]
[folio, [963.0, 2030.0, 360.0, 36.0], lmkwmJ4T1s, 5730883]
