[792, 612]
[folio, [240.0, 66.0, 119.0, 18.0], shoonya_0s1FN7XVRL36S7, 6496518]
[author, [188.0, 131.0, 96.0, 18.0], r_wdW5ovLl, 6496518]
[paragraph, [181.0, 172.0, 190.0, 18.0], hMATsFq5Pk, 6496518]
[paragraph, [181.0, 190.0, 190.0, 18.0], hMATsFq5Pk, 6496518]
[paragraph, [181.0, 208.0, 190.0, 18.0], hMATsFq5Pk, 6496518]
[paragraph, [181.0, 226.0, 190.0, 18.0], hMATsFq5Pk, 6496518]
[paragraph, [176.0, 246.0, 221.0, 18.0], kicnWGFslN, 6496518]
[paragraph, [176.0, 264.0, 221.0, 18.0], kicnWGFslN, 6496518]
[paragraph, [176.0, 282.0, 221.0, 18.0], kicnWGFslN, 6496518]
[paragraph, [165.0, 316.0, 209.0, 18.0], YeTjgVXTjx, 6496518]
[paragraph, [165.0, 334.0, 209.0, 18.0], YeTjgVXTjx, 6496518]
[paragraph, [165.0, 352.0, 209.0, 18.0], YeTjgVXTjx, 6496518]
[paragraph, [176.0, 388.0, 207.0, 18.0], Ss3SMpxrh8, 6496518]
[paragraph, [176.0, 406.0, 207.0, 18.0], Ss3SMpxrh8, 6496518]
[paragraph, [176.0, 424.0, 207.0, 18.0], Ss3SMpxrh8, 6496518]
[paragraph, [172.0, 459.0, 183.0, 18.0], L9P4O1T6bW, 6496518]
[paragraph, [172.0, 477.0, 183.0, 18.0], L9P4O1T6bW, 6496518]
[paragraph, [172.0, 495.0, 183.0, 18.0], L9P4O1T6bW, 6496518]
[paragraph, [175.0, 530.0, 214.0, 18.0], mJRJ4WBTdP, 6496518]
[paragraph, [175.0, 548.0, 214.0, 18.0], mJRJ4WBTdP, 6496518]
[paragraph, [175.0, 566.0, 214.0, 18.0], mJRJ4WBTdP, 6496518]
[paragraph, [173.0, 600.0, 222.0, 18.0], fQzOVaZXhU, 6496518]
[paragraph, [173.0, 618.0, 222.0, 18.0], fQzOVaZXhU, 6496518]
[paragraph, [173.0, 636.0, 222.0, 18.0], fQzOVaZXhU, 6496518]
