[2806, 1983]
[paragraph, [208.0, 225.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 271.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 318.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 364.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 411.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 457.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 504.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 550.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 597.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 643.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 690.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 736.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 783.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 829.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 876.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 922.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 969.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1015.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1062.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1108.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1155.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1201.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1248.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1294.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1341.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1387.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1434.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1480.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1527.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1573.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1620.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1666.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1713.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1759.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1806.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1852.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1899.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1945.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 1992.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 2038.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 2085.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 2131.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 2178.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 2224.5, 1576.0, 46.5], 7krL-iKaVi, 5682521]
[paragraph, [208.0, 2271.0, 1576.0, 46.5], 7krL-iKaVi, 5682521]
