[1518, 1075]
[paragraph, [90.0, 141.0, 427.0, 36.0], shoonya_2s4WEMUPIBPS37, 5722295]
[paragraph, [90.0, 177.0, 427.0, 36.0], shoonya_2s4WEMUPIBPS37, 5722295]
[paragraph, [90.0, 213.0, 427.0, 36.0], shoonya_2s4WEMUPIBPS37, 5722295]
[paragraph, [90.0, 249.0, 427.0, 36.0], shoonya_2s4WEMUPIBPS37, 5722295]
[paragraph, [90.0, 285.0, 427.0, 36.0], shoonya_2s4WEMUPIBPS37, 5722295]
[paragraph, [90.0, 321.0, 427.0, 36.0], shoonya_2s4WEMUPIBPS37, 5722295]
[paragraph, [90.0, 357.0, 427.0, 36.0], shoonya_2s4WEMUPIBPS37, 5722295]
[paragraph, [90.0, 393.0, 427.0, 36.0], shoonya_2s4WEMUPIBPS37, 5722295]
[paragraph, [90.0, 429.0, 427.0, 36.0], shoonya_2s4WEMUPIBPS37, 5722295]
[paragraph, [90.0, 465.0, 427.0, 36.0], shoonya_2s4WEMUPIBPS37, 5722295]
[paragraph, [90.0, 501.0, 427.0, 36.0], shoonya_2s4WEMUPIBPS37, 5722295]
[paragraph, [534.0, 146.0, 429.0, 36.0], shoonya_4s8YJ5GK2N8PJV, 5722295]
[paragraph, [534.0, 182.0, 429.0, 36.0], shoonya_4s8YJ5GK2N8PJV, 5722295]
[paragraph, [534.0, 218.0, 429.0, 36.0], shoonya_4s8YJ5GK2N8PJV, 5722295]
[paragraph, [534.0, 254.0, 429.0, 36.0], shoonya_4s8YJ5GK2N8PJV, 5722295]
[paragraph, [534.0, 290.0, 429.0, 36.0], shoonya_4s8YJ5GK2N8PJV, 5722295]
[paragraph, [534.0, 326.0, 429.0, 36.0], shoonya_4s8YJ5GK2N8PJV, 5722295]
[paragraph, [534.0, 362.0, 429.0, 36.0], shoonya_4s8YJ5GK2N8PJV, 5722295]
[paragraph, [534.0, 398.0, 429.0, 36.0], shoonya_4s8YJ5GK2N8PJV, 5722295]
[paragraph, [534.0, 434.0, 429.0, 36.0], shoonya_4s8YJ5GK2N8PJV, 5722295]
[paragraph, [534.0, 489.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 525.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 561.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 597.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 633.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 669.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 705.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 741.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 777.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 813.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 849.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 885.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 921.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 957.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 993.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 1029.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [534.0, 1065.0, 429.0, 36.0], shoonya_3sQP9IJ0NY77VM, 5722295]
[paragraph, [91.0, 568.0, 426.0, 36.0], shoonya_0s7YHNGCI7YPRJ, 5722295]
[paragraph, [91.0, 604.0, 426.0, 36.0], shoonya_0s7YHNGCI7YPRJ, 5722295]
[paragraph, [91.0, 640.0, 426.0, 36.0], shoonya_0s7YHNGCI7YPRJ, 5722295]
[paragraph, [91.0, 676.0, 426.0, 36.0], shoonya_0s7YHNGCI7YPRJ, 5722295]
[paragraph, [91.0, 712.0, 426.0, 36.0], shoonya_0s7YHNGCI7YPRJ, 5722295]
[paragraph, [91.0, 748.0, 426.0, 36.0], shoonya_0s7YHNGCI7YPRJ, 5722295]
[paragraph, [91.0, 784.0, 426.0, 36.0], shoonya_0s7YHNGCI7YPRJ, 5722295]
[paragraph, [91.0, 820.0, 426.0, 36.0], shoonya_0s7YHNGCI7YPRJ, 5722295]
[paragraph, [90.0, 926.0, 428.0, 36.0], shoonya_1sIRQG93ZG4AW5, 5722295]
[paragraph, [90.0, 962.0, 428.0, 36.0], shoonya_1sIRQG93ZG4AW5, 5722295]
[paragraph, [90.0, 998.0, 428.0, 36.0], shoonya_1sIRQG93ZG4AW5, 5722295]
[paragraph, [90.0, 1034.0, 428.0, 36.0], shoonya_1sIRQG93ZG4AW5, 5722295]
[paragraph, [90.0, 1070.0, 428.0, 36.0], shoonya_1sIRQG93ZG4AW5, 5722295]
[paragraph, [90.0, 1106.0, 428.0, 36.0], shoonya_1sIRQG93ZG4AW5, 5722295]
[paragraph, [90.0, 1142.0, 428.0, 36.0], shoonya_1sIRQG93ZG4AW5, 5722295]
[paragraph, [90.0, 1178.0, 428.0, 36.0], shoonya_1sIRQG93ZG4AW5, 5722295]
[paragraph, [90.0, 1214.0, 428.0, 36.0], shoonya_1sIRQG93ZG4AW5, 5722295]
[paragraph, [90.0, 1250.0, 428.0, 36.0], shoonya_1sIRQG93ZG4AW5, 5722295]
[paragraph, [90.0, 1286.0, 428.0, 36.0], shoonya_1sIRQG93ZG4AW5, 5722295]
[paragraph, [534.0, 1131.0, 428.0, 36.0], shoonya_5sESXREMFE27IX, 5722295]
[paragraph, [534.0, 1167.0, 428.0, 36.0], shoonya_5sESXREMFE27IX, 5722295]
[paragraph, [534.0, 1203.0, 428.0, 36.0], shoonya_5sESXREMFE27IX, 5722295]
[paragraph, [534.0, 1239.0, 428.0, 36.0], shoonya_5sESXREMFE27IX, 5722295]
