[1755, 1240]
[paragraph, [181.0, 187.0, 874.0, 36.0], YmZwRHAPIz, 5703621]
[paragraph, [181.0, 223.0, 874.0, 36.0], YmZwRHAPIz, 5703621]
[paragraph, [181.0, 259.0, 874.0, 36.0], YmZwRHAPIz, 5703621]
[paragraph, [181.0, 295.0, 874.0, 36.0], YmZwRHAPIz, 5703621]
[paragraph, [176.0, 383.0, 888.0, 36.0], shoonya_0sQ4K20F7NKU70, 5703621]
[paragraph, [176.0, 419.0, 888.0, 36.0], shoonya_0sQ4K20F7NKU70, 5703621]
[paragraph, [176.0, 455.0, 888.0, 36.0], shoonya_0sQ4K20F7NKU70, 5703621]
[paragraph, [176.0, 491.0, 888.0, 36.0], shoonya_0sQ4K20F7NKU70, 5703621]
[paragraph, [176.0, 527.0, 888.0, 36.0], shoonya_0sQ4K20F7NKU70, 5703621]
[paragraph, [176.0, 563.0, 888.0, 36.0], shoonya_0sQ4K20F7NKU70, 5703621]
[paragraph, [176.0, 599.0, 888.0, 36.0], shoonya_0sQ4K20F7NKU70, 5703621]
[paragraph, [176.0, 635.0, 888.0, 36.0], shoonya_0sQ4K20F7NKU70, 5703621]
[paragraph, [176.0, 671.0, 888.0, 36.0], shoonya_0sQ4K20F7NKU70, 5703621]
[paragraph, [170.0, 735.0, 897.0, 36.0], ymvWk_Qnxo, 5703621]
[paragraph, [170.0, 771.0, 897.0, 36.0], ymvWk_Qnxo, 5703621]
[paragraph, [170.0, 807.0, 897.0, 36.0], ymvWk_Qnxo, 5703621]
[paragraph, [170.0, 843.0, 897.0, 36.0], ymvWk_Qnxo, 5703621]
[paragraph, [170.0, 879.0, 897.0, 36.0], ymvWk_Qnxo, 5703621]
[paragraph, [170.0, 915.0, 897.0, 36.0], ymvWk_Qnxo, 5703621]
[paragraph, [170.0, 951.0, 897.0, 36.0], ymvWk_Qnxo, 5703621]
[paragraph, [174.0, 1051.0, 893.0, 36.0], lWLKbUL2lt, 5703621]
[paragraph, [174.0, 1087.0, 893.0, 36.0], lWLKbUL2lt, 5703621]
[paragraph, [175.0, 1195.0, 889.0, 36.0], shoonya_1sUFZ50XZDXXGI, 5703621]
[paragraph, [175.0, 1231.0, 889.0, 36.0], shoonya_1sUFZ50XZDXXGI, 5703621]
[paragraph, [175.0, 1267.0, 889.0, 36.0], shoonya_1sUFZ50XZDXXGI, 5703621]
[paragraph, [175.0, 1303.0, 889.0, 36.0], shoonya_1sUFZ50XZDXXGI, 5703621]
[paragraph, [175.0, 1339.0, 889.0, 36.0], shoonya_1sUFZ50XZDXXGI, 5703621]
[paragraph, [175.0, 1375.0, 889.0, 36.0], shoonya_1sUFZ50XZDXXGI, 5703621]
[paragraph, [175.0, 1411.0, 889.0, 36.0], shoonya_1sUFZ50XZDXXGI, 5703621]
