[1241, 798]
[section-title, [253.0, 93.0, 287.0, 30.0], shoonya_2s3KZEIU5VO75Z, 5702549]
[paragraph, [84.0, 135.0, 619.0, 18.0], 7CS_GmdkiH, 5702549]
[paragraph, [84.0, 153.0, 619.0, 18.0], 7CS_GmdkiH, 5702549]
[paragraph, [84.0, 171.0, 619.0, 18.0], 7CS_GmdkiH, 5702549]
[paragraph, [84.0, 189.0, 619.0, 18.0], 7CS_GmdkiH, 5702549]
[paragraph, [84.0, 207.0, 619.0, 18.0], 7CS_GmdkiH, 5702549]
[paragraph, [84.0, 225.0, 619.0, 18.0], 7CS_GmdkiH, 5702549]
[paragraph, [84.0, 243.0, 619.0, 18.0], 7CS_GmdkiH, 5702549]
[section-title, [248.0, 281.0, 299.0, 30.0], shoonya_5s589YHMDYDYZ8, 5702549]
[paragraph, [87.0, 320.0, 615.0, 18.0], F1HY5V9snQ, 5702549]
[paragraph, [87.0, 338.0, 615.0, 18.0], F1HY5V9snQ, 5702549]
[paragraph, [87.0, 356.0, 615.0, 18.0], F1HY5V9snQ, 5702549]
[paragraph, [87.0, 374.0, 615.0, 18.0], F1HY5V9snQ, 5702549]
[paragraph, [87.0, 392.0, 615.0, 18.0], F1HY5V9snQ, 5702549]
[paragraph, [87.0, 410.0, 615.0, 18.0], F1HY5V9snQ, 5702549]
[paragraph, [87.0, 428.0, 615.0, 18.0], F1HY5V9snQ, 5702549]
[paragraph, [87.0, 446.0, 615.0, 18.0], F1HY5V9snQ, 5702549]
[paragraph, [87.0, 464.0, 615.0, 18.0], F1HY5V9snQ, 5702549]
[paragraph, [91.0, 502.0, 612.0, 18.0], zV9Qnh8Wdl, 5702549]
[paragraph, [91.0, 520.0, 612.0, 18.0], zV9Qnh8Wdl, 5702549]
[paragraph, [91.0, 538.0, 612.0, 18.0], zV9Qnh8Wdl, 5702549]
[section-title, [196.0, 576.0, 383.0, 30.0], shoonya_1s812UHD2L6X18, 5702549]
[paragraph, [84.0, 617.0, 617.0, 18.0], UklkuLQ3rc, 5702549]
[paragraph, [84.0, 635.0, 617.0, 18.0], UklkuLQ3rc, 5702549]
[paragraph, [84.0, 653.0, 617.0, 18.0], UklkuLQ3rc, 5702549]
[paragraph, [84.0, 671.0, 617.0, 18.0], UklkuLQ3rc, 5702549]
[paragraph, [84.0, 689.0, 617.0, 18.0], UklkuLQ3rc, 5702549]
[section-title, [237.0, 727.0, 323.0, 30.0], shoonya_0sPK5Y72WFVEHJ, 5702549]
[paragraph, [84.0, 770.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 788.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 806.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 824.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 842.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 860.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 878.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 896.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 914.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 932.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 950.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 968.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 986.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 1004.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 1022.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 1040.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 1058.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 1076.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 1094.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 1112.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
[paragraph, [84.0, 1130.0, 621.0, 18.0], shoonya_4sOGBXHYXAIQ7U, 5702549]
