[6000, 4167]
[folio, [1213.0, 630.0, 1708.0, 52.5], MVnkV9THtW, 5720955]
[folio, [1213.0, 682.5, 1708.0, 52.5], MVnkV9THtW, 5720955]
[folio, [1213.0, 735.0, 1708.0, 52.5], MVnkV9THtW, 5720955]
[paragraph, [614.0, 927.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 979.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1032.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1084.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1137.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1189.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1242.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1294.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1347.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1399.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1452.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1504.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1557.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1609.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1662.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1714.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1767.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1819.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1872.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1924.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 1977.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2029.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2082.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2134.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2187.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2239.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2292.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2344.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2397.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2449.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2502.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2554.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2607.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2659.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2712.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2764.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2817.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2869.5, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
[paragraph, [614.0, 2922.0, 2958.0, 52.5], Zhy7JSUXuo, 5720955]
