[1754, 1241]
[paragraph, [185.0, 125.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 161.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 197.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 233.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 269.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 305.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 341.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 377.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 413.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 449.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 485.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 521.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 557.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 593.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [185.0, 629.0, 944.0, 36.0], shoonya_1sD4QPFY4YF6FB, 5714455]
[paragraph, [201.0, 690.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 726.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 762.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 798.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 834.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 870.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 906.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 942.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 978.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1014.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1050.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1086.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1122.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1158.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1194.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1230.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1266.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1302.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1338.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1374.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1410.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1446.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1482.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
[paragraph, [201.0, 1518.0, 933.0, 36.0], shoonya_0sC17Z5V6CW48B, 5714455]
