[2339, 1653]
[folio, [1154.0, 329.0, 267.0, 36.0], shoonya_7s6Q47OQNNL4WN, 5735452]
[sidebar, [1432.0, 390.0, 132.0, 36.0], RUJv2DJvm0, 5735452]
[figure-caption, [564.0, 1109.0, 524.0, 36.0], shoonya_8sH2MLNEE5AYD2, 5735452]
[paragraph, [836.0, 1190.0, 579.0, 36.0], shoonya_5sEF2G0KUO3PF6, 5735452]
[paragraph, [836.0, 1226.0, 579.0, 36.0], shoonya_5sEF2G0KUO3PF6, 5735452]
[paragraph, [836.0, 1262.0, 579.0, 36.0], shoonya_5sEF2G0KUO3PF6, 5735452]
[paragraph, [237.0, 1191.0, 581.0, 36.0], shoonya_3sILSAVRSGSJB7, 5735452]
[paragraph, [237.0, 1227.0, 581.0, 36.0], shoonya_3sILSAVRSGSJB7, 5735452]
[paragraph, [237.0, 1263.0, 581.0, 36.0], shoonya_3sILSAVRSGSJB7, 5735452]
[paragraph, [237.0, 1299.0, 581.0, 36.0], shoonya_3sILSAVRSGSJB7, 5735452]
[paragraph, [237.0, 1335.0, 581.0, 36.0], shoonya_3sILSAVRSGSJB7, 5735452]
[paragraph, [237.0, 1371.0, 581.0, 36.0], shoonya_3sILSAVRSGSJB7, 5735452]
[paragraph, [237.0, 1407.0, 581.0, 36.0], shoonya_3sILSAVRSGSJB7, 5735452]
[paragraph, [237.0, 1443.0, 581.0, 36.0], shoonya_3sILSAVRSGSJB7, 5735452]
[paragraph, [237.0, 1479.0, 581.0, 36.0], shoonya_3sILSAVRSGSJB7, 5735452]
[paragraph, [835.0, 1325.0, 579.0, 36.0], shoonya_4s1BSX8VQS8STF, 5735452]
[paragraph, [835.0, 1361.0, 579.0, 36.0], shoonya_4s1BSX8VQS8STF, 5735452]
[paragraph, [835.0, 1397.0, 579.0, 36.0], shoonya_4s1BSX8VQS8STF, 5735452]
[paragraph, [835.0, 1433.0, 579.0, 36.0], shoonya_4s1BSX8VQS8STF, 5735452]
[paragraph, [835.0, 1469.0, 579.0, 36.0], shoonya_4s1BSX8VQS8STF, 5735452]
[paragraph, [835.0, 1505.0, 579.0, 36.0], shoonya_4s1BSX8VQS8STF, 5735452]
[paragraph, [836.0, 1547.0, 581.0, 36.0], shoonya_1sWYBH8KQEA576, 5735452]
[paragraph, [836.0, 1583.0, 581.0, 36.0], shoonya_1sWYBH8KQEA576, 5735452]
[paragraph, [836.0, 1619.0, 581.0, 36.0], shoonya_1sWYBH8KQEA576, 5735452]
[paragraph, [836.0, 1655.0, 581.0, 36.0], shoonya_1sWYBH8KQEA576, 5735452]
[paragraph, [836.0, 1691.0, 581.0, 36.0], shoonya_1sWYBH8KQEA576, 5735452]
[paragraph, [836.0, 1727.0, 581.0, 36.0], shoonya_1sWYBH8KQEA576, 5735452]
[paragraph, [836.0, 1763.0, 581.0, 36.0], shoonya_1sWYBH8KQEA576, 5735452]
[paragraph, [836.0, 1799.0, 581.0, 36.0], shoonya_1sWYBH8KQEA576, 5735452]
[paragraph, [836.0, 1835.0, 581.0, 36.0], shoonya_1sWYBH8KQEA576, 5735452]
[paragraph, [836.0, 1871.0, 581.0, 36.0], shoonya_1sWYBH8KQEA576, 5735452]
[paragraph, [836.0, 1907.0, 581.0, 36.0], shoonya_1sWYBH8KQEA576, 5735452]
[paragraph, [237.0, 1548.0, 578.0, 36.0], shoonya_2s5FIVG1D1FDKS, 5735452]
[paragraph, [237.0, 1584.0, 578.0, 36.0], shoonya_2s5FIVG1D1FDKS, 5735452]
[paragraph, [237.0, 1620.0, 578.0, 36.0], shoonya_2s5FIVG1D1FDKS, 5735452]
[paragraph, [237.0, 1656.0, 578.0, 36.0], shoonya_2s5FIVG1D1FDKS, 5735452]
[paragraph, [237.0, 1692.0, 578.0, 36.0], shoonya_2s5FIVG1D1FDKS, 5735452]
[paragraph, [237.0, 1728.0, 578.0, 36.0], shoonya_2s5FIVG1D1FDKS, 5735452]
[paragraph, [237.0, 1764.0, 578.0, 36.0], shoonya_2s5FIVG1D1FDKS, 5735452]
[paragraph, [237.0, 1800.0, 578.0, 36.0], shoonya_2s5FIVG1D1FDKS, 5735452]
[paragraph, [237.0, 1836.0, 578.0, 36.0], shoonya_2s5FIVG1D1FDKS, 5735452]
[paragraph, [237.0, 1872.0, 578.0, 36.0], shoonya_2s5FIVG1D1FDKS, 5735452]
[paragraph, [237.0, 1908.0, 578.0, 36.0], shoonya_2s5FIVG1D1FDKS, 5735452]
[folio, [237.0, 1965.0, 233.0, 36.0], lLsn7SKbcE, 5735452]
