[2339, 1653]
[folio, [1176.0, 324.0, 243.0, 36.0], h7Z6qq-vW6, 5735672]
[folio, [237.0, 329.0, 163.0, 36.0], shoonya_9sQMHXHEW4IU5N, 5735672]
[paragraph, [235.0, 384.0, 583.0, 36.0], shoonya_7sIQLRB2A79917, 5735672]
[paragraph, [235.0, 420.0, 583.0, 36.0], shoonya_7sIQLRB2A79917, 5735672]
[paragraph, [235.0, 456.0, 583.0, 36.0], shoonya_7sIQLRB2A79917, 5735672]
[paragraph, [837.0, 387.0, 578.0, 36.0], shoonya_0sKUWSSM2YYR2H, 5735672]
[paragraph, [837.0, 423.0, 578.0, 36.0], shoonya_0sKUWSSM2YYR2H, 5735672]
[paragraph, [837.0, 459.0, 578.0, 36.0], shoonya_0sKUWSSM2YYR2H, 5735672]
[paragraph, [837.0, 495.0, 578.0, 36.0], shoonya_0sKUWSSM2YYR2H, 5735672]
[paragraph, [837.0, 531.0, 578.0, 36.0], shoonya_0sKUWSSM2YYR2H, 5735672]
[paragraph, [837.0, 567.0, 578.0, 36.0], shoonya_0sKUWSSM2YYR2H, 5735672]
[paragraph, [837.0, 603.0, 578.0, 36.0], shoonya_0sKUWSSM2YYR2H, 5735672]
[paragraph, [837.0, 639.0, 578.0, 36.0], shoonya_0sKUWSSM2YYR2H, 5735672]
[paragraph, [837.0, 675.0, 578.0, 36.0], shoonya_0sKUWSSM2YYR2H, 5735672]
[paragraph, [837.0, 711.0, 578.0, 36.0], shoonya_0sKUWSSM2YYR2H, 5735672]
[paragraph, [837.0, 747.0, 578.0, 36.0], shoonya_0sKUWSSM2YYR2H, 5735672]
[paragraph, [837.0, 783.0, 578.0, 36.0], shoonya_0sKUWSSM2YYR2H, 5735672]
[paragraph, [235.0, 520.0, 581.0, 36.0], shoonya_8sXH5PXKAXNOAE, 5735672]
[paragraph, [235.0, 556.0, 581.0, 36.0], shoonya_8sXH5PXKAXNOAE, 5735672]
[paragraph, [235.0, 592.0, 581.0, 36.0], shoonya_8sXH5PXKAXNOAE, 5735672]
[author, [615.0, 660.0, 201.0, 36.0], shoonya_11sG6K9C08KWFV, 5735672]
[section-title, [227.0, 741.0, 286.0, 52.5], M56LAaBo7_, 5735672]
[paragraph, [241.0, 790.0, 154.0, 36.0], arhUThWH1f, 5735672]
[paragraph, [835.0, 833.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 869.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 905.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 941.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 977.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1013.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1049.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1085.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1121.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1157.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1193.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1229.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1265.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1301.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1337.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1373.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1409.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1445.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1481.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1517.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1553.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1589.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1625.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1661.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1697.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1733.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1769.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1805.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1841.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1877.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [835.0, 1913.0, 579.0, 36.0], shoonya_1sA141C624AR87, 5735672]
[paragraph, [485.0, 881.0, 335.0, 36.0], shoonya_5sG57DDQNQL2F2, 5735672]
[paragraph, [485.0, 917.0, 335.0, 36.0], shoonya_5sG57DDQNQL2F2, 5735672]
[paragraph, [485.0, 953.0, 335.0, 36.0], shoonya_5sG57DDQNQL2F2, 5735672]
[paragraph, [485.0, 989.0, 335.0, 36.0], shoonya_5sG57DDQNQL2F2, 5735672]
[paragraph, [485.0, 1025.0, 335.0, 36.0], shoonya_5sG57DDQNQL2F2, 5735672]
[paragraph, [485.0, 1061.0, 335.0, 36.0], shoonya_5sG57DDQNQL2F2, 5735672]
[paragraph, [485.0, 1097.0, 335.0, 36.0], shoonya_5sG57DDQNQL2F2, 5735672]
[paragraph, [485.0, 1133.0, 335.0, 36.0], shoonya_5sG57DDQNQL2F2, 5735672]
[sidebar, [1456.0, 941.0, 142.0, 36.0], 3NDaP-FOaI, 5735672]
[paragraph, [497.0, 1197.0, 319.0, 36.0], ebuy0aYOdz, 5735672]
[paragraph, [237.0, 1238.0, 578.0, 36.0], shoonya_3sH07B55LXMYO4, 5735672]
[paragraph, [237.0, 1274.0, 578.0, 36.0], shoonya_3sH07B55LXMYO4, 5735672]
[paragraph, [237.0, 1310.0, 578.0, 36.0], shoonya_3sH07B55LXMYO4, 5735672]
[paragraph, [237.0, 1346.0, 578.0, 36.0], shoonya_3sH07B55LXMYO4, 5735672]
[paragraph, [237.0, 1382.0, 578.0, 36.0], shoonya_3sH07B55LXMYO4, 5735672]
[paragraph, [237.0, 1418.0, 578.0, 36.0], shoonya_3sH07B55LXMYO4, 5735672]
[paragraph, [237.0, 1454.0, 578.0, 36.0], shoonya_3sH07B55LXMYO4, 5735672]
[paragraph, [237.0, 1490.0, 578.0, 36.0], shoonya_3sH07B55LXMYO4, 5735672]
[paragraph, [237.0, 1526.0, 578.0, 36.0], shoonya_3sH07B55LXMYO4, 5735672]
[paragraph, [238.0, 1594.0, 578.0, 36.0], shoonya_2sWD3P2AYV1BJ4, 5735672]
[paragraph, [238.0, 1630.0, 578.0, 36.0], shoonya_2sWD3P2AYV1BJ4, 5735672]
[paragraph, [238.0, 1666.0, 578.0, 36.0], shoonya_2sWD3P2AYV1BJ4, 5735672]
[paragraph, [238.0, 1702.0, 578.0, 36.0], shoonya_2sWD3P2AYV1BJ4, 5735672]
[paragraph, [238.0, 1738.0, 578.0, 36.0], shoonya_2sWD3P2AYV1BJ4, 5735672]
[paragraph, [238.0, 1774.0, 578.0, 36.0], shoonya_2sWD3P2AYV1BJ4, 5735672]
[paragraph, [238.0, 1810.0, 578.0, 36.0], shoonya_2sWD3P2AYV1BJ4, 5735672]
[paragraph, [238.0, 1846.0, 578.0, 36.0], shoonya_2sWD3P2AYV1BJ4, 5735672]
[paragraph, [238.0, 1882.0, 578.0, 36.0], shoonya_2sWD3P2AYV1BJ4, 5735672]
[folio, [239.0, 1967.0, 229.0, 36.0], GtUtghQe0c, 5735672]
