[1031, 622]
[section-title, [258.0, 69.0, 110.0, 30.0], shoonya_2sU8W37UIL8LBD, 5710225]
[paragraph, [55.0, 119.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 137.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 155.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 173.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 191.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 209.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 227.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 245.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 263.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 281.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 299.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 317.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 335.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 353.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 371.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 389.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 407.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 425.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 443.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 461.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 479.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 497.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 515.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 533.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 551.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 569.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 587.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 605.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 623.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 641.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 659.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[paragraph, [55.0, 677.0, 513.0, 18.0], shoonya_0sQGCC4CD4W44D, 5710225]
[contact-info, [140.0, 937.0, 345.0, 18.0], EaVbCUj2--, 5710225]
