[1951, 1219]
[chapter-title, [332.0, 397.0, 429.0, 58.5], lI91mCI-B3, 5682370]
[paragraph, [118.0, 565.0, 979.0, 36.0], 1UQi9pnd8U, 5682370]
[paragraph, [118.0, 601.0, 979.0, 36.0], 1UQi9pnd8U, 5682370]
[paragraph, [118.0, 637.0, 979.0, 36.0], 1UQi9pnd8U, 5682370]
[paragraph, [118.0, 673.0, 979.0, 36.0], 1UQi9pnd8U, 5682370]
[paragraph, [120.0, 754.0, 988.0, 36.0], ngd5jWg_cx, 5682370]
[paragraph, [120.0, 790.0, 988.0, 36.0], ngd5jWg_cx, 5682370]
[paragraph, [120.0, 826.0, 988.0, 36.0], ngd5jWg_cx, 5682370]
[paragraph, [120.0, 862.0, 988.0, 36.0], ngd5jWg_cx, 5682370]
[paragraph, [120.0, 898.0, 988.0, 36.0], ngd5jWg_cx, 5682370]
[paragraph, [120.0, 934.0, 988.0, 36.0], ngd5jWg_cx, 5682370]
[paragraph, [120.0, 970.0, 988.0, 36.0], ngd5jWg_cx, 5682370]
[paragraph, [120.0, 1006.0, 988.0, 36.0], ngd5jWg_cx, 5682370]
[paragraph, [201.0, 1053.0, 554.0, 36.0], dwQyiUcd7k, 5682370]
[paragraph, [120.0, 1120.0, 982.0, 36.0], ux_f1k6k1E, 5682370]
[paragraph, [120.0, 1156.0, 982.0, 36.0], ux_f1k6k1E, 5682370]
[paragraph, [120.0, 1192.0, 982.0, 36.0], ux_f1k6k1E, 5682370]
[paragraph, [120.0, 1228.0, 982.0, 36.0], ux_f1k6k1E, 5682370]
[paragraph, [120.0, 1264.0, 982.0, 36.0], ux_f1k6k1E, 5682370]
[paragraph, [120.0, 1300.0, 982.0, 36.0], ux_f1k6k1E, 5682370]
[paragraph, [120.0, 1336.0, 982.0, 36.0], ux_f1k6k1E, 5682370]
[paragraph, [120.0, 1372.0, 982.0, 36.0], ux_f1k6k1E, 5682370]
[paragraph, [120.0, 1408.0, 982.0, 36.0], ux_f1k6k1E, 5682370]
[paragraph, [120.0, 1444.0, 982.0, 36.0], ux_f1k6k1E, 5682370]
[paragraph, [120.0, 1480.0, 982.0, 36.0], ux_f1k6k1E, 5682370]
[paragraph, [115.0, 1530.0, 995.0, 36.0], n4m7HbZiha, 5682370]
[paragraph, [115.0, 1566.0, 995.0, 36.0], n4m7HbZiha, 5682370]
[paragraph, [115.0, 1602.0, 995.0, 36.0], n4m7HbZiha, 5682370]
[paragraph, [115.0, 1638.0, 995.0, 36.0], n4m7HbZiha, 5682370]
[paragraph, [115.0, 1674.0, 995.0, 36.0], n4m7HbZiha, 5682370]
[paragraph, [115.0, 1710.0, 995.0, 36.0], n4m7HbZiha, 5682370]
[paragraph, [115.0, 1746.0, 995.0, 36.0], n4m7HbZiha, 5682370]
[paragraph, [115.0, 1782.0, 995.0, 36.0], n4m7HbZiha, 5682370]
