[3509, 2480]
[paragraph, [350.0, 378.0, 1776.0, 52.5], xVDyck-G0n, 5724190]
[paragraph, [350.0, 430.5, 1776.0, 52.5], xVDyck-G0n, 5724190]
[paragraph, [350.0, 483.0, 1776.0, 52.5], xVDyck-G0n, 5724190]
[paragraph, [350.0, 535.5, 1776.0, 52.5], xVDyck-G0n, 5724190]
[paragraph, [356.0, 663.0, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 715.5, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 768.0, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 820.5, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 873.0, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 925.5, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 978.0, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 1030.5, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 1083.0, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 1135.5, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 1188.0, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 1240.5, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 1293.0, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 1345.5, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 1398.0, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 1450.5, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 1503.0, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 1555.5, 1797.0, 52.5], rzLED7phOH, 5724190]
[paragraph, [356.0, 1660.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 1712.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 1765.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 1817.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 1870.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 1922.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 1975.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2027.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2080.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2132.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2185.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2237.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2290.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2342.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2395.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2447.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2500.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2552.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2605.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2657.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2710.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2762.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2815.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2867.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2920.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 2972.5, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
[paragraph, [356.0, 3025.0, 1802.0, 52.5], shoonya_0sWCVFU6XI9ZHO, 5724190]
