[842, 596]
[sub-section-title, [54.0, 81.0, 211.0, 25.5], shoonya_7sMCGBIZ2FPNCK, 5766087]
[paragraph, [53.0, 113.0, 491.0, 18.0], shoonya_2sW80T7CHKGYLR, 5766087]
[paragraph, [53.0, 131.0, 491.0, 18.0], shoonya_2sW80T7CHKGYLR, 5766087]
[paragraph, [53.0, 149.0, 491.0, 18.0], shoonya_2sW80T7CHKGYLR, 5766087]
[paragraph, [53.0, 167.0, 491.0, 18.0], shoonya_2sW80T7CHKGYLR, 5766087]
[paragraph, [53.0, 185.0, 491.0, 18.0], shoonya_2sW80T7CHKGYLR, 5766087]
[paragraph, [53.0, 203.0, 491.0, 18.0], shoonya_2sW80T7CHKGYLR, 5766087]
[paragraph, [53.0, 221.0, 491.0, 18.0], shoonya_2sW80T7CHKGYLR, 5766087]
[paragraph, [53.0, 254.0, 488.0, 18.0], shoonya_1sAJ77QEY3NYK2, 5766087]
[paragraph, [53.0, 272.0, 488.0, 18.0], shoonya_1sAJ77QEY3NYK2, 5766087]
[paragraph, [53.0, 290.0, 488.0, 18.0], shoonya_1sAJ77QEY3NYK2, 5766087]
[paragraph, [53.0, 308.0, 488.0, 18.0], shoonya_1sAJ77QEY3NYK2, 5766087]
[paragraph, [53.0, 326.0, 488.0, 18.0], shoonya_1sAJ77QEY3NYK2, 5766087]
[paragraph, [53.0, 344.0, 488.0, 18.0], shoonya_1sAJ77QEY3NYK2, 5766087]
[paragraph, [53.0, 362.0, 488.0, 18.0], shoonya_1sAJ77QEY3NYK2, 5766087]
[paragraph, [53.0, 380.0, 488.0, 18.0], shoonya_1sAJ77QEY3NYK2, 5766087]
[paragraph, [53.0, 398.0, 488.0, 18.0], shoonya_1sAJ77QEY3NYK2, 5766087]
[paragraph, [53.0, 416.0, 488.0, 18.0], shoonya_1sAJ77QEY3NYK2, 5766087]
[paragraph, [53.0, 434.0, 488.0, 18.0], shoonya_1sAJ77QEY3NYK2, 5766087]
[paragraph, [53.0, 452.0, 488.0, 18.0], shoonya_1sAJ77QEY3NYK2, 5766087]
[paragraph, [53.0, 490.0, 483.0, 18.0], shoonya_3s7225T2TAI4X4, 5766087]
[paragraph, [53.0, 508.0, 483.0, 18.0], shoonya_3s7225T2TAI4X4, 5766087]
[paragraph, [53.0, 526.0, 483.0, 18.0], shoonya_3s7225T2TAI4X4, 5766087]
[sub-section-title, [51.0, 587.0, 79.0, 25.5], ZTrxqP7Dqc, 5766087]
[paragraph, [51.0, 624.0, 487.0, 18.0], shoonya_0s4DHZFMVO6KTC, 5766087]
[paragraph, [51.0, 642.0, 487.0, 18.0], shoonya_0s4DHZFMVO6KTC, 5766087]
[paragraph, [51.0, 660.0, 487.0, 18.0], shoonya_0s4DHZFMVO6KTC, 5766087]
[paragraph, [51.0, 678.0, 487.0, 18.0], shoonya_0s4DHZFMVO6KTC, 5766087]
[paragraph, [51.0, 696.0, 487.0, 18.0], shoonya_0s4DHZFMVO6KTC, 5766087]
[paragraph, [51.0, 714.0, 487.0, 18.0], shoonya_0s4DHZFMVO6KTC, 5766087]
[paragraph, [51.0, 732.0, 487.0, 18.0], shoonya_0s4DHZFMVO6KTC, 5766087]
[paragraph, [51.0, 750.0, 487.0, 18.0], shoonya_0s4DHZFMVO6KTC, 5766087]
