[1275, 750]
[folio, [234.0, 86.0, 284.0, 18.0], XMEAeSXpvt, 5766984]
[folio, [234.0, 104.0, 284.0, 18.0], XMEAeSXpvt, 5766984]
[paragraph, [70.0, 156.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 174.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 192.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 210.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 228.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 246.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 264.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 282.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 300.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 318.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 336.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 354.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 372.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 390.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 408.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 426.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 444.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 462.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 480.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 498.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 516.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 534.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 552.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 570.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 588.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 606.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 624.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 642.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 660.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 678.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 696.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 714.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 732.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 750.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 768.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
[paragraph, [70.0, 786.0, 611.0, 18.0], shoonya_0sIQAL03M3WSMR, 5766984]
