[2200, 1700]
[unordered-list, [418.0, 117.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 153.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 189.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 225.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 261.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 297.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 333.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 369.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 405.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 441.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 477.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 513.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 549.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 585.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 621.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[unordered-list, [418.0, 657.0, 1091.0, 36.0], shoonya_0sSQSGGQF10I1N, 5734235]
[section-title, [480.0, 839.0, 524.0, 52.5], shoonya_3sCS7S2N9OBCZF, 5734235]
[paragraph, [371.0, 895.0, 1134.0, 36.0], shoonya_2sP9I6O0JSGGPS, 5734235]
[paragraph, [371.0, 931.0, 1134.0, 36.0], shoonya_2sP9I6O0JSGGPS, 5734235]
[paragraph, [371.0, 967.0, 1134.0, 36.0], shoonya_2sP9I6O0JSGGPS, 5734235]
[paragraph, [371.0, 1003.0, 1134.0, 36.0], shoonya_2sP9I6O0JSGGPS, 5734235]
[paragraph, [371.0, 1039.0, 1134.0, 36.0], shoonya_2sP9I6O0JSGGPS, 5734235]
[paragraph, [371.0, 1075.0, 1134.0, 36.0], shoonya_2sP9I6O0JSGGPS, 5734235]
[paragraph, [371.0, 1111.0, 1134.0, 36.0], shoonya_2sP9I6O0JSGGPS, 5734235]
[paragraph, [371.0, 1147.0, 1134.0, 36.0], shoonya_2sP9I6O0JSGGPS, 5734235]
[paragraph, [371.0, 1183.0, 1134.0, 36.0], shoonya_2sP9I6O0JSGGPS, 5734235]
[paragraph, [374.0, 1251.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1287.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1323.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1359.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1395.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1431.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1467.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1503.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1539.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1575.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1611.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1647.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1683.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1719.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1755.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1791.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1827.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1863.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1899.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1935.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
[paragraph, [374.0, 1971.0, 1133.0, 36.0], shoonya_1sEDA7351A3PQJ, 5734235]
