[3508, 2481]
[contact-info, [599.0, 103.0, 1232.0, 52.5], 00Y0Vdhwm_, 6515970]
[contact-info, [599.0, 155.5, 1232.0, 52.5], 00Y0Vdhwm_, 6515970]
[section-title, [1010.0, 276.0, 445.0, 93.0], MQITFWuoyB, 6515970]
[dateline, [1835.0, 625.0, 422.0, 52.5], nFGWsQgrDO, 6515970]
[dateline, [1835.0, 677.5, 422.0, 52.5], nFGWsQgrDO, 6515970]
[paragraph, [207.0, 917.0, 280.0, 52.5], JCFJtCpujf, 6515970]
[paragraph, [203.0, 1028.0, 2058.0, 52.5], qYOWRJr249, 6515970]
[paragraph, [203.0, 1080.5, 2058.0, 52.5], qYOWRJr249, 6515970]
[paragraph, [203.0, 1133.0, 2058.0, 52.5], qYOWRJr249, 6515970]
[paragraph, [203.0, 1185.5, 2058.0, 52.5], qYOWRJr249, 6515970]
[paragraph, [203.0, 1238.0, 2058.0, 52.5], qYOWRJr249, 6515970]
[paragraph, [203.0, 1290.5, 2058.0, 52.5], qYOWRJr249, 6515970]
[ordered-list, [257.0, 1446.0, 2043.0, 52.5], Iw_RXI7EoE, 6515970]
[ordered-list, [257.0, 1498.5, 2043.0, 52.5], Iw_RXI7EoE, 6515970]
[ordered-list, [257.0, 1551.0, 2043.0, 52.5], Iw_RXI7EoE, 6515970]
[ordered-list, [257.0, 1603.5, 2043.0, 52.5], Iw_RXI7EoE, 6515970]
[ordered-list, [257.0, 1656.0, 2043.0, 52.5], Iw_RXI7EoE, 6515970]
[ordered-list, [257.0, 1708.5, 2043.0, 52.5], Iw_RXI7EoE, 6515970]
[ordered-list, [257.0, 1761.0, 2043.0, 52.5], Iw_RXI7EoE, 6515970]
[ordered-list, [257.0, 1813.5, 2043.0, 52.5], Iw_RXI7EoE, 6515970]
[ordered-list, [257.0, 1866.0, 2043.0, 52.5], Iw_RXI7EoE, 6515970]
[ordered-list, [257.0, 1918.5, 2043.0, 52.5], Iw_RXI7EoE, 6515970]
[ordered-list, [257.0, 1971.0, 2043.0, 52.5], Iw_RXI7EoE, 6515970]
[contact-info, [1838.0, 2389.0, 409.0, 52.5], h-NTF6E2zM, 6515970]
[contact-info, [979.0, 3258.0, 514.0, 52.5], j4mOpnkcTo, 6515970]
