[2176, 1430]
[folio, [155.0, 121.0, 176.0, 36.0], YSPfWRaygX, 5655151]
[paragraph, [158.0, 228.0, 1183.0, 36.0], shoonya_1sBOSFWX098K6A, 5655151]
[paragraph, [158.0, 264.0, 1183.0, 36.0], shoonya_1sBOSFWX098K6A, 5655151]
[paragraph, [158.0, 300.0, 1183.0, 36.0], shoonya_1sBOSFWX098K6A, 5655151]
[paragraph, [158.0, 336.0, 1183.0, 36.0], shoonya_1sBOSFWX098K6A, 5655151]
[paragraph, [158.0, 372.0, 1183.0, 36.0], shoonya_1sBOSFWX098K6A, 5655151]
[paragraph, [158.0, 408.0, 1183.0, 36.0], shoonya_1sBOSFWX098K6A, 5655151]
[paragraph, [158.0, 444.0, 1183.0, 36.0], shoonya_1sBOSFWX098K6A, 5655151]
[paragraph, [158.0, 480.0, 1183.0, 36.0], shoonya_1sBOSFWX098K6A, 5655151]
[paragraph, [158.0, 516.0, 1183.0, 36.0], shoonya_1sBOSFWX098K6A, 5655151]
[paragraph, [158.0, 552.0, 1183.0, 36.0], shoonya_1sBOSFWX098K6A, 5655151]
[paragraph, [239.0, 629.0, 1047.0, 36.0], shoonya_10sHBQG8NBTMF1, 5655151]
[paragraph, [239.0, 665.0, 1047.0, 36.0], shoonya_10sHBQG8NBTMF1, 5655151]
[section-title, [165.0, 723.0, 541.0, 52.5], shoonya_11sXIJ6D0UEPWR, 5655151]
[paragraph, [156.0, 817.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 853.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 889.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 925.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 961.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 997.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 1033.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 1069.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 1105.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 1141.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 1177.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 1213.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 1249.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 1285.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 1321.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[paragraph, [156.0, 1357.0, 1192.0, 36.0], shoonya_0s60GZSG2P5RQ6, 5655151]
[section-title, [162.0, 1452.0, 412.0, 52.5], shoonya_7s0RS7XED03R7G, 5655151]
[paragraph, [164.0, 1541.0, 1184.0, 36.0], shoonya_3sD5G5ADOMOYYP, 5655151]
[paragraph, [164.0, 1577.0, 1184.0, 36.0], shoonya_3sD5G5ADOMOYYP, 5655151]
[paragraph, [164.0, 1613.0, 1184.0, 36.0], shoonya_3sD5G5ADOMOYYP, 5655151]
[paragraph, [164.0, 1649.0, 1184.0, 36.0], shoonya_3sD5G5ADOMOYYP, 5655151]
[paragraph, [164.0, 1685.0, 1184.0, 36.0], shoonya_3sD5G5ADOMOYYP, 5655151]
[paragraph, [164.0, 1721.0, 1184.0, 36.0], shoonya_3sD5G5ADOMOYYP, 5655151]
[paragraph, [164.0, 1757.0, 1184.0, 36.0], shoonya_3sD5G5ADOMOYYP, 5655151]
[paragraph, [164.0, 1793.0, 1184.0, 36.0], shoonya_3sD5G5ADOMOYYP, 5655151]
[paragraph, [164.0, 1829.0, 1184.0, 36.0], shoonya_3sD5G5ADOMOYYP, 5655151]
[paragraph, [164.0, 1865.0, 1184.0, 36.0], shoonya_3sD5G5ADOMOYYP, 5655151]
[reference, [162.0, 1932.0, 481.0, 36.0], shoonya_4sGJWQ4IKBCMEH, 5655151]
[reference, [162.0, 1968.0, 481.0, 36.0], shoonya_4sGJWQ4IKBCMEH, 5655151]
