[1650, 1275]
[section-title, [289.0, 508.0, 362.0, 49.5], BKOcgu-t3R, 6469714]
[reference, [251.0, 598.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 634.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 670.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 706.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 742.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 778.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 814.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 850.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 886.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 922.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 958.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 994.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 1030.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 1066.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 1102.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 1138.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
[reference, [251.0, 1174.0, 483.0, 36.0], 8f1fzdOGNl, 6469714]
