[1650, 1275]
[unordered-list, [130.0, 167.0, 475.0, 36.0], shoonya_1sLPN9RTDXDS6T, 6477590]
[unordered-list, [130.0, 203.0, 475.0, 36.0], shoonya_1sLPN9RTDXDS6T, 6477590]
[unordered-list, [130.0, 239.0, 475.0, 36.0], shoonya_1sLPN9RTDXDS6T, 6477590]
[unordered-list, [130.0, 275.0, 475.0, 36.0], shoonya_1sLPN9RTDXDS6T, 6477590]
[unordered-list, [130.0, 311.0, 475.0, 36.0], shoonya_1sLPN9RTDXDS6T, 6477590]
[paragraph, [695.0, 208.0, 507.0, 36.0], shoonya_15sRVP80HHNC13, 6477590]
[paragraph, [695.0, 244.0, 507.0, 36.0], shoonya_15sRVP80HHNC13, 6477590]
[paragraph, [695.0, 280.0, 507.0, 36.0], shoonya_15sRVP80HHNC13, 6477590]
[paragraph, [696.0, 339.0, 475.0, 36.0], shoonya_11sNLY0EFAYHMV, 6477590]
[unordered-list, [696.0, 410.0, 514.0, 36.0], shoonya_2sN5616D9JUF0I, 6477590]
[unordered-list, [696.0, 446.0, 514.0, 36.0], shoonya_2sN5616D9JUF0I, 6477590]
[unordered-list, [696.0, 482.0, 514.0, 36.0], shoonya_2sN5616D9JUF0I, 6477590]
[unordered-list, [696.0, 518.0, 514.0, 36.0], shoonya_2sN5616D9JUF0I, 6477590]
[unordered-list, [696.0, 554.0, 514.0, 36.0], shoonya_2sN5616D9JUF0I, 6477590]
[unordered-list, [696.0, 590.0, 514.0, 36.0], shoonya_2sN5616D9JUF0I, 6477590]
[paragraph, [125.0, 415.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 451.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 487.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 523.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 559.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 595.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 631.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 667.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 703.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 739.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 775.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 811.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 847.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[paragraph, [125.0, 883.0, 507.0, 36.0], shoonya_8sZ8T8PMA4DWWR, 6477590]
[unordered-list, [680.0, 760.0, 523.0, 36.0], shoonya_0s8QM07MFYT6ZQ, 6477590]
[unordered-list, [680.0, 796.0, 523.0, 36.0], shoonya_0s8QM07MFYT6ZQ, 6477590]
[unordered-list, [680.0, 832.0, 523.0, 36.0], shoonya_0s8QM07MFYT6ZQ, 6477590]
[unordered-list, [680.0, 868.0, 523.0, 36.0], shoonya_0s8QM07MFYT6ZQ, 6477590]
[unordered-list, [680.0, 904.0, 523.0, 36.0], shoonya_0s8QM07MFYT6ZQ, 6477590]
[unordered-list, [680.0, 940.0, 523.0, 36.0], shoonya_0s8QM07MFYT6ZQ, 6477590]
[unordered-list, [680.0, 976.0, 523.0, 36.0], shoonya_0s8QM07MFYT6ZQ, 6477590]
[unordered-list, [680.0, 1012.0, 523.0, 36.0], shoonya_0s8QM07MFYT6ZQ, 6477590]
[unordered-list, [680.0, 1048.0, 523.0, 36.0], shoonya_0s8QM07MFYT6ZQ, 6477590]
[unordered-list, [680.0, 1084.0, 523.0, 36.0], shoonya_0s8QM07MFYT6ZQ, 6477590]
[paragraph, [126.0, 937.0, 472.0, 36.0], shoonya_13sMTW2YMQN5LT, 6477590]
[paragraph, [126.0, 973.0, 472.0, 36.0], shoonya_13sMTW2YMQN5LT, 6477590]
[paragraph, [126.0, 1009.0, 472.0, 36.0], shoonya_13sMTW2YMQN5LT, 6477590]
[paragraph, [126.0, 1045.0, 472.0, 36.0], shoonya_13sMTW2YMQN5LT, 6477590]
[paragraph, [127.0, 1161.0, 516.0, 36.0], fChgEFU3UN, 6477590]
[paragraph, [127.0, 1197.0, 516.0, 36.0], fChgEFU3UN, 6477590]
[paragraph, [127.0, 1233.0, 516.0, 36.0], fChgEFU3UN, 6477590]
[paragraph, [694.0, 1181.0, 505.0, 36.0], shoonya_6sBSAT0HWO42B5, 6477590]
[paragraph, [694.0, 1217.0, 505.0, 36.0], shoonya_6sBSAT0HWO42B5, 6477590]
[paragraph, [694.0, 1253.0, 505.0, 36.0], shoonya_6sBSAT0HWO42B5, 6477590]
[paragraph, [694.0, 1289.0, 505.0, 36.0], shoonya_6sBSAT0HWO42B5, 6477590]
[paragraph, [694.0, 1325.0, 505.0, 36.0], shoonya_6sBSAT0HWO42B5, 6477590]
[paragraph, [694.0, 1361.0, 505.0, 36.0], shoonya_6sBSAT0HWO42B5, 6477590]
[paragraph, [694.0, 1397.0, 505.0, 36.0], shoonya_6sBSAT0HWO42B5, 6477590]
[unordered-list, [132.0, 1286.0, 499.0, 36.0], shoonya_3sNIGLF1JZLUO1, 6477590]
[unordered-list, [132.0, 1322.0, 499.0, 36.0], shoonya_3sNIGLF1JZLUO1, 6477590]
[unordered-list, [132.0, 1358.0, 499.0, 36.0], shoonya_3sNIGLF1JZLUO1, 6477590]
[unordered-list, [132.0, 1394.0, 499.0, 36.0], shoonya_3sNIGLF1JZLUO1, 6477590]
[unordered-list, [132.0, 1430.0, 499.0, 36.0], shoonya_3sNIGLF1JZLUO1, 6477590]
