[1625, 1211]
[headline, [249.0, 86.0, 711.0, 37.5], YpEMmWRfhW, 5742630]
[sub-headline, [72.0, 148.0, 1046.0, 36.0], shoonya_0s07HQFMSJKA58, 5742630]
[paragraph, [428.0, 215.0, 343.0, 36.0], wKmBVFQCp4, 5742630]
[paragraph, [428.0, 251.0, 343.0, 36.0], wKmBVFQCp4, 5742630]
[paragraph, [428.0, 287.0, 343.0, 36.0], wKmBVFQCp4, 5742630]
[paragraph, [428.0, 323.0, 343.0, 36.0], wKmBVFQCp4, 5742630]
[paragraph, [428.0, 359.0, 343.0, 36.0], wKmBVFQCp4, 5742630]
[paragraph, [428.0, 395.0, 343.0, 36.0], wKmBVFQCp4, 5742630]
[paragraph, [428.0, 431.0, 343.0, 36.0], wKmBVFQCp4, 5742630]
[paragraph, [428.0, 467.0, 343.0, 36.0], wKmBVFQCp4, 5742630]
[paragraph, [788.0, 216.0, 342.0, 36.0], hw5zKbepgy, 5742630]
[paragraph, [788.0, 252.0, 342.0, 36.0], hw5zKbepgy, 5742630]
[paragraph, [69.0, 221.0, 342.0, 36.0], BrYJG8zq_F, 5742630]
[paragraph, [69.0, 257.0, 342.0, 36.0], BrYJG8zq_F, 5742630]
[paragraph, [69.0, 293.0, 342.0, 36.0], BrYJG8zq_F, 5742630]
[paragraph, [69.0, 329.0, 342.0, 36.0], BrYJG8zq_F, 5742630]
[paragraph, [787.0, 328.0, 355.0, 36.0], qhOZOlXbxW, 5742630]
[paragraph, [787.0, 364.0, 355.0, 36.0], qhOZOlXbxW, 5742630]
[paragraph, [787.0, 400.0, 355.0, 36.0], qhOZOlXbxW, 5742630]
[paragraph, [787.0, 436.0, 355.0, 36.0], qhOZOlXbxW, 5742630]
[paragraph, [787.0, 472.0, 355.0, 36.0], qhOZOlXbxW, 5742630]
[paragraph, [787.0, 508.0, 355.0, 36.0], qhOZOlXbxW, 5742630]
[paragraph, [787.0, 544.0, 355.0, 36.0], qhOZOlXbxW, 5742630]
[paragraph, [68.0, 381.0, 354.0, 36.0], Qw_KwLH1cC, 5742630]
[paragraph, [68.0, 417.0, 354.0, 36.0], Qw_KwLH1cC, 5742630]
[paragraph, [68.0, 453.0, 354.0, 36.0], Qw_KwLH1cC, 5742630]
[paragraph, [68.0, 489.0, 354.0, 36.0], Qw_KwLH1cC, 5742630]
[paragraph, [68.0, 525.0, 354.0, 36.0], Qw_KwLH1cC, 5742630]
[paragraph, [68.0, 561.0, 354.0, 36.0], Qw_KwLH1cC, 5742630]
[paragraph, [435.0, 539.0, 348.0, 36.0], tEsdnuSlt-, 5742630]
[paragraph, [435.0, 575.0, 348.0, 36.0], tEsdnuSlt-, 5742630]
[paragraph, [435.0, 611.0, 348.0, 36.0], tEsdnuSlt-, 5742630]
[paragraph, [435.0, 647.0, 348.0, 36.0], tEsdnuSlt-, 5742630]
[paragraph, [435.0, 683.0, 348.0, 36.0], tEsdnuSlt-, 5742630]
[paragraph, [796.0, 602.0, 342.0, 36.0], CLpHqvCfm5, 5742630]
[paragraph, [796.0, 638.0, 342.0, 36.0], CLpHqvCfm5, 5742630]
[paragraph, [796.0, 674.0, 342.0, 36.0], CLpHqvCfm5, 5742630]
[paragraph, [74.0, 636.0, 346.0, 36.0], dXAeDvLlcR, 5742630]
[paragraph, [74.0, 672.0, 346.0, 36.0], dXAeDvLlcR, 5742630]
[section-title, [316.0, 752.0, 567.0, 49.5], b6unO5PIu0, 5742630]
[paragraph, [799.0, 831.0, 338.0, 36.0], shoonya_1sVDA0CLTMSTP6, 5742630]
[paragraph, [799.0, 867.0, 338.0, 36.0], shoonya_1sVDA0CLTMSTP6, 5742630]
[paragraph, [799.0, 903.0, 338.0, 36.0], shoonya_1sVDA0CLTMSTP6, 5742630]
[paragraph, [799.0, 939.0, 338.0, 36.0], shoonya_1sVDA0CLTMSTP6, 5742630]
[paragraph, [799.0, 975.0, 338.0, 36.0], shoonya_1sVDA0CLTMSTP6, 5742630]
[paragraph, [799.0, 1011.0, 338.0, 36.0], shoonya_1sVDA0CLTMSTP6, 5742630]
[paragraph, [799.0, 1047.0, 338.0, 36.0], shoonya_1sVDA0CLTMSTP6, 5742630]
[paragraph, [799.0, 1083.0, 338.0, 36.0], shoonya_1sVDA0CLTMSTP6, 5742630]
[paragraph, [799.0, 1119.0, 338.0, 36.0], shoonya_1sVDA0CLTMSTP6, 5742630]
[paragraph, [799.0, 1155.0, 338.0, 36.0], shoonya_1sVDA0CLTMSTP6, 5742630]
[paragraph, [799.0, 1191.0, 338.0, 36.0], shoonya_1sVDA0CLTMSTP6, 5742630]
[paragraph, [438.0, 832.0, 334.0, 36.0], 1x5sJNwB9G, 5742630]
[paragraph, [438.0, 868.0, 334.0, 36.0], 1x5sJNwB9G, 5742630]
[paragraph, [438.0, 904.0, 334.0, 36.0], 1x5sJNwB9G, 5742630]
[paragraph, [438.0, 940.0, 334.0, 36.0], 1x5sJNwB9G, 5742630]
[paragraph, [438.0, 976.0, 334.0, 36.0], 1x5sJNwB9G, 5742630]
[paragraph, [438.0, 1012.0, 334.0, 36.0], 1x5sJNwB9G, 5742630]
[paragraph, [438.0, 1048.0, 334.0, 36.0], 1x5sJNwB9G, 5742630]
[paragraph, [83.0, 834.0, 336.0, 36.0], cMp7aQedlN, 5742630]
[paragraph, [83.0, 870.0, 336.0, 36.0], cMp7aQedlN, 5742630]
[paragraph, [83.0, 906.0, 336.0, 36.0], cMp7aQedlN, 5742630]
[paragraph, [83.0, 942.0, 336.0, 36.0], cMp7aQedlN, 5742630]
[paragraph, [83.0, 978.0, 336.0, 36.0], cMp7aQedlN, 5742630]
[paragraph, [83.0, 1014.0, 336.0, 36.0], cMp7aQedlN, 5742630]
[paragraph, [83.0, 1050.0, 336.0, 36.0], cMp7aQedlN, 5742630]
[paragraph, [83.0, 1086.0, 336.0, 36.0], cMp7aQedlN, 5742630]
[paragraph, [83.0, 1122.0, 336.0, 36.0], cMp7aQedlN, 5742630]
[author, [478.0, 1107.0, 270.0, 36.0], v-ayyi49va, 5742630]
[paragraph, [437.0, 1163.0, 348.0, 36.0], bMMSN7Hy_K, 5742630]
[paragraph, [437.0, 1199.0, 348.0, 36.0], bMMSN7Hy_K, 5742630]
[paragraph, [437.0, 1235.0, 348.0, 36.0], bMMSN7Hy_K, 5742630]
[paragraph, [437.0, 1271.0, 348.0, 36.0], bMMSN7Hy_K, 5742630]
[paragraph, [83.0, 1188.0, 346.0, 36.0], DyGnnVK_z7, 5742630]
[paragraph, [83.0, 1224.0, 346.0, 36.0], DyGnnVK_z7, 5742630]
[paragraph, [83.0, 1260.0, 346.0, 36.0], DyGnnVK_z7, 5742630]
[paragraph, [83.0, 1296.0, 346.0, 36.0], DyGnnVK_z7, 5742630]
[paragraph, [83.0, 1332.0, 346.0, 36.0], DyGnnVK_z7, 5742630]
[paragraph, [83.0, 1368.0, 346.0, 36.0], DyGnnVK_z7, 5742630]
[paragraph, [83.0, 1404.0, 346.0, 36.0], DyGnnVK_z7, 5742630]
[paragraph, [83.0, 1440.0, 346.0, 36.0], DyGnnVK_z7, 5742630]
[paragraph, [805.0, 1253.0, 334.0, 36.0], qLT7HW-Yhg, 5742630]
[paragraph, [805.0, 1289.0, 334.0, 36.0], qLT7HW-Yhg, 5742630]
[paragraph, [805.0, 1325.0, 334.0, 36.0], qLT7HW-Yhg, 5742630]
[paragraph, [805.0, 1361.0, 334.0, 36.0], qLT7HW-Yhg, 5742630]
