[1447, 1063]
[folio, [444.0, 56.0, 194.0, 18.0], WV4UzGVdcP, 5762371]
[paragraph, [533.0, 93.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 111.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 129.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 147.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 165.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 183.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 201.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 219.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 237.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 255.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 273.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 291.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 309.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 327.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 345.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 363.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 381.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [533.0, 399.0, 435.0, 18.0], FoHIx9EFYL, 5762371]
[paragraph, [92.0, 96.0, 433.0, 18.0], CysMc5OvxV, 5762371]
[paragraph, [92.0, 114.0, 433.0, 18.0], CysMc5OvxV, 5762371]
[paragraph, [92.0, 132.0, 433.0, 18.0], CysMc5OvxV, 5762371]
[paragraph, [92.0, 150.0, 433.0, 18.0], CysMc5OvxV, 5762371]
[paragraph, [92.0, 168.0, 433.0, 18.0], CysMc5OvxV, 5762371]
[paragraph, [92.0, 186.0, 433.0, 18.0], CysMc5OvxV, 5762371]
[paragraph, [92.0, 204.0, 433.0, 18.0], CysMc5OvxV, 5762371]
[paragraph, [92.0, 222.0, 433.0, 18.0], CysMc5OvxV, 5762371]
[paragraph, [92.0, 240.0, 433.0, 18.0], CysMc5OvxV, 5762371]
[paragraph, [92.0, 258.0, 433.0, 18.0], CysMc5OvxV, 5762371]
[paragraph, [92.0, 291.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 309.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 327.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 345.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 363.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 381.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 399.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 417.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 435.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 453.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 471.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 489.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 507.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 525.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 543.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 561.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 579.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 597.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 615.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 633.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 651.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 669.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 687.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 705.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 723.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 741.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 759.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 777.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [92.0, 795.0, 428.0, 18.0], shoonya_0s7D05XMC0GJW0, 5762371]
[paragraph, [537.0, 436.0, 431.0, 18.0], Se0WeApJ2A, 5762371]
[paragraph, [537.0, 454.0, 431.0, 18.0], Se0WeApJ2A, 5762371]
[paragraph, [537.0, 472.0, 431.0, 18.0], Se0WeApJ2A, 5762371]
[paragraph, [537.0, 490.0, 431.0, 18.0], Se0WeApJ2A, 5762371]
[paragraph, [537.0, 508.0, 431.0, 18.0], Se0WeApJ2A, 5762371]
[paragraph, [537.0, 526.0, 431.0, 18.0], Se0WeApJ2A, 5762371]
[paragraph, [537.0, 544.0, 431.0, 18.0], Se0WeApJ2A, 5762371]
[paragraph, [537.0, 562.0, 431.0, 18.0], Se0WeApJ2A, 5762371]
[paragraph, [537.0, 580.0, 431.0, 18.0], Se0WeApJ2A, 5762371]
[paragraph, [537.0, 598.0, 431.0, 18.0], Se0WeApJ2A, 5762371]
[section-title, [533.0, 637.0, 340.0, 30.0], 39pkVD-eU3, 5762371]
[paragraph, [537.0, 685.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 703.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 721.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 739.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 757.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 775.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 793.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 811.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 829.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 847.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 865.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 883.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 901.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 919.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [537.0, 937.0, 427.0, 18.0], sVg-H0Pj3E, 5762371]
[paragraph, [93.0, 843.0, 427.0, 18.0], ShmmuFVL3A, 5762371]
[paragraph, [93.0, 861.0, 427.0, 18.0], ShmmuFVL3A, 5762371]
[paragraph, [93.0, 879.0, 427.0, 18.0], ShmmuFVL3A, 5762371]
[paragraph, [93.0, 897.0, 427.0, 18.0], ShmmuFVL3A, 5762371]
[paragraph, [93.0, 915.0, 427.0, 18.0], ShmmuFVL3A, 5762371]
[paragraph, [93.0, 933.0, 427.0, 18.0], ShmmuFVL3A, 5762371]
[paragraph, [93.0, 951.0, 427.0, 18.0], ShmmuFVL3A, 5762371]
