[1755, 1241]
[folio, [682.0, 68.0, 364.0, 36.0], 2MUPwY6bjn, 5759781]
[paragraph, [233.0, 128.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 164.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 200.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 236.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 272.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 308.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 344.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 380.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 416.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 452.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 488.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 524.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 560.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 596.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 632.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 668.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 704.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 740.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [233.0, 776.0, 811.0, 36.0], shoonya_0s7ZYNMUKBXVK5, 5759781]
[paragraph, [231.0, 835.0, 813.0, 36.0], shoonya_1sY5HEFLN1VTU9, 5759781]
[paragraph, [231.0, 871.0, 813.0, 36.0], shoonya_1sY5HEFLN1VTU9, 5759781]
[paragraph, [231.0, 907.0, 813.0, 36.0], shoonya_1sY5HEFLN1VTU9, 5759781]
[paragraph, [231.0, 943.0, 813.0, 36.0], shoonya_1sY5HEFLN1VTU9, 5759781]
[paragraph, [231.0, 979.0, 813.0, 36.0], shoonya_1sY5HEFLN1VTU9, 5759781]
[paragraph, [231.0, 1015.0, 813.0, 36.0], shoonya_1sY5HEFLN1VTU9, 5759781]
[section-title, [544.0, 1066.0, 189.0, 49.5], egvLFsmjbN, 5759781]
[paragraph, [310.0, 1126.0, 536.0, 36.0], bxzi168c9g, 5759781]
[paragraph, [310.0, 1162.0, 536.0, 36.0], bxzi168c9g, 5759781]
[paragraph, [310.0, 1198.0, 536.0, 36.0], bxzi168c9g, 5759781]
[paragraph, [310.0, 1234.0, 536.0, 36.0], bxzi168c9g, 5759781]
[paragraph, [310.0, 1270.0, 536.0, 36.0], bxzi168c9g, 5759781]
[paragraph, [310.0, 1306.0, 536.0, 36.0], bxzi168c9g, 5759781]
[paragraph, [310.0, 1342.0, 536.0, 36.0], bxzi168c9g, 5759781]
[paragraph, [310.0, 1378.0, 536.0, 36.0], bxzi168c9g, 5759781]
[paragraph, [310.0, 1414.0, 536.0, 36.0], bxzi168c9g, 5759781]
[paragraph, [310.0, 1450.0, 536.0, 36.0], bxzi168c9g, 5759781]
[paragraph, [231.0, 1517.0, 829.0, 36.0], rTmKGd3Ycb, 5759781]
[paragraph, [231.0, 1553.0, 829.0, 36.0], rTmKGd3Ycb, 5759781]
