[2200, 1700]
[paragraph, [281.0, 223.0, 1141.0, 36.0], shoonya_2sC14HGMJCTTAA, 5686259]
[paragraph, [281.0, 259.0, 1141.0, 36.0], shoonya_2sC14HGMJCTTAA, 5686259]
[paragraph, [281.0, 295.0, 1141.0, 36.0], shoonya_2sC14HGMJCTTAA, 5686259]
[paragraph, [281.0, 331.0, 1141.0, 36.0], shoonya_2sC14HGMJCTTAA, 5686259]
[paragraph, [281.0, 367.0, 1141.0, 36.0], shoonya_2sC14HGMJCTTAA, 5686259]
[paragraph, [281.0, 403.0, 1141.0, 36.0], shoonya_2sC14HGMJCTTAA, 5686259]
[paragraph, [277.0, 497.0, 1156.0, 36.0], shoonya_4s3543FUBZT9D4, 5686259]
[paragraph, [277.0, 533.0, 1156.0, 36.0], shoonya_4s3543FUBZT9D4, 5686259]
[paragraph, [277.0, 569.0, 1156.0, 36.0], shoonya_4s3543FUBZT9D4, 5686259]
[paragraph, [277.0, 605.0, 1156.0, 36.0], shoonya_4s3543FUBZT9D4, 5686259]
[paragraph, [390.0, 675.0, 910.0, 36.0], shoonya_5s3GH2IY5KI20N, 5686259]
[paragraph, [390.0, 711.0, 910.0, 36.0], shoonya_5s3GH2IY5KI20N, 5686259]
[paragraph, [390.0, 747.0, 910.0, 36.0], shoonya_5s3GH2IY5KI20N, 5686259]
[paragraph, [390.0, 783.0, 910.0, 36.0], shoonya_5s3GH2IY5KI20N, 5686259]
[paragraph, [390.0, 819.0, 910.0, 36.0], shoonya_5s3GH2IY5KI20N, 5686259]
[paragraph, [390.0, 855.0, 910.0, 36.0], shoonya_5s3GH2IY5KI20N, 5686259]
[paragraph, [390.0, 891.0, 910.0, 36.0], shoonya_5s3GH2IY5KI20N, 5686259]
[paragraph, [390.0, 927.0, 910.0, 36.0], shoonya_5s3GH2IY5KI20N, 5686259]
[paragraph, [390.0, 963.0, 910.0, 36.0], shoonya_5s3GH2IY5KI20N, 5686259]
[paragraph, [401.0, 1031.0, 341.0, 36.0], cHJ0Keim6G, 5686259]
[reference, [754.0, 1031.0, 124.0, 36.0], 4LtHVG4Ae7, 5686259]
[paragraph, [281.0, 1130.0, 1136.0, 36.0], shoonya_0sES11M486E8DZ, 5686259]
[paragraph, [281.0, 1166.0, 1136.0, 36.0], shoonya_0sES11M486E8DZ, 5686259]
[paragraph, [281.0, 1202.0, 1136.0, 36.0], shoonya_0sES11M486E8DZ, 5686259]
[paragraph, [281.0, 1238.0, 1136.0, 36.0], shoonya_0sES11M486E8DZ, 5686259]
[paragraph, [281.0, 1274.0, 1136.0, 36.0], shoonya_0sES11M486E8DZ, 5686259]
[paragraph, [281.0, 1310.0, 1136.0, 36.0], shoonya_0sES11M486E8DZ, 5686259]
[paragraph, [281.0, 1346.0, 1136.0, 36.0], shoonya_0sES11M486E8DZ, 5686259]
[paragraph, [281.0, 1382.0, 1136.0, 36.0], shoonya_0sES11M486E8DZ, 5686259]
[paragraph, [281.0, 1418.0, 1136.0, 36.0], shoonya_0sES11M486E8DZ, 5686259]
[paragraph, [280.0, 1495.0, 1137.0, 36.0], shoonya_1s2HZP3HUCMIWV, 5686259]
[paragraph, [280.0, 1531.0, 1137.0, 36.0], shoonya_1s2HZP3HUCMIWV, 5686259]
[paragraph, [280.0, 1567.0, 1137.0, 36.0], shoonya_1s2HZP3HUCMIWV, 5686259]
[paragraph, [280.0, 1603.0, 1137.0, 36.0], shoonya_1s2HZP3HUCMIWV, 5686259]
[paragraph, [280.0, 1639.0, 1137.0, 36.0], shoonya_1s2HZP3HUCMIWV, 5686259]
[paragraph, [280.0, 1675.0, 1137.0, 36.0], shoonya_1s2HZP3HUCMIWV, 5686259]
[paragraph, [280.0, 1711.0, 1137.0, 36.0], shoonya_1s2HZP3HUCMIWV, 5686259]
[paragraph, [280.0, 1747.0, 1137.0, 36.0], shoonya_1s2HZP3HUCMIWV, 5686259]
[paragraph, [280.0, 1783.0, 1137.0, 36.0], shoonya_1s2HZP3HUCMIWV, 5686259]
