[1606, 1056]
[folio, [102.0, 97.0, 245.0, 36.0], HdipuyORbF, 5683646]
[folio, [441.0, 98.0, 176.0, 36.0], DRT0-B26v2, 5683646]
[paragraph, [303.0, 157.0, 441.0, 36.0], shoonya_0sOJVRDHCJET9O, 5683646]
[paragraph, [303.0, 193.0, 441.0, 36.0], shoonya_0sOJVRDHCJET9O, 5683646]
[paragraph, [303.0, 229.0, 441.0, 36.0], shoonya_0sOJVRDHCJET9O, 5683646]
[paragraph, [303.0, 265.0, 441.0, 36.0], shoonya_0sOJVRDHCJET9O, 5683646]
[paragraph, [314.0, 343.0, 421.0, 36.0], RVjWsElkLv, 5683646]
[paragraph, [314.0, 379.0, 421.0, 36.0], RVjWsElkLv, 5683646]
[paragraph, [314.0, 415.0, 421.0, 36.0], RVjWsElkLv, 5683646]
[paragraph, [314.0, 451.0, 421.0, 36.0], RVjWsElkLv, 5683646]
[paragraph, [297.0, 521.0, 442.0, 36.0], y3TFPLRSkb, 5683646]
[paragraph, [297.0, 557.0, 442.0, 36.0], y3TFPLRSkb, 5683646]
[paragraph, [297.0, 593.0, 442.0, 36.0], y3TFPLRSkb, 5683646]
[paragraph, [297.0, 629.0, 442.0, 36.0], y3TFPLRSkb, 5683646]
[paragraph, [273.0, 705.0, 486.0, 36.0], c8qO5UjELS, 5683646]
[paragraph, [273.0, 741.0, 486.0, 36.0], c8qO5UjELS, 5683646]
[paragraph, [273.0, 777.0, 486.0, 36.0], c8qO5UjELS, 5683646]
[paragraph, [273.0, 813.0, 486.0, 36.0], c8qO5UjELS, 5683646]
[paragraph, [300.0, 880.0, 440.0, 36.0], j8u903ROz6, 5683646]
[paragraph, [300.0, 916.0, 440.0, 36.0], j8u903ROz6, 5683646]
[paragraph, [300.0, 952.0, 440.0, 36.0], j8u903ROz6, 5683646]
[paragraph, [300.0, 988.0, 440.0, 36.0], j8u903ROz6, 5683646]
[paragraph, [308.0, 1058.0, 431.0, 36.0], mjDv7rXaPz, 5683646]
[paragraph, [308.0, 1094.0, 431.0, 36.0], mjDv7rXaPz, 5683646]
[paragraph, [308.0, 1130.0, 431.0, 36.0], mjDv7rXaPz, 5683646]
[paragraph, [308.0, 1166.0, 431.0, 36.0], mjDv7rXaPz, 5683646]
[paragraph, [300.0, 1242.0, 431.0, 36.0], cc5JSACYqn, 5683646]
[paragraph, [300.0, 1278.0, 431.0, 36.0], cc5JSACYqn, 5683646]
[paragraph, [300.0, 1314.0, 431.0, 36.0], cc5JSACYqn, 5683646]
[paragraph, [300.0, 1350.0, 431.0, 36.0], cc5JSACYqn, 5683646]
[author, [97.0, 1421.0, 400.0, 36.0], DMBRJ5O4Ua, 5683646]
[author, [97.0, 1457.0, 400.0, 36.0], DMBRJ5O4Ua, 5683646]
