[544, 359]
[folio, [148.0, 31.0, 110.0, 18.0], KStxJcyi6E, 6457994]
[paragraph, [15.0, 54.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 72.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 90.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 108.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 126.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 144.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 162.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 180.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 198.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 216.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 234.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 252.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 270.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 288.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 306.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 324.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 342.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 360.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 378.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 396.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 414.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 432.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 450.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 468.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
[paragraph, [15.0, 486.0, 332.0, 18.0], shoonya_0sRNRVFA9B76YB, 6457994]
