[2200, 1700]
[paragraph, [305.0, 249.0, 1009.0, 36.0], shoonya_1sAYEKP1ZEGAI5, 5651496]
[paragraph, [305.0, 285.0, 1009.0, 36.0], shoonya_1sAYEKP1ZEGAI5, 5651496]
[paragraph, [305.0, 321.0, 1009.0, 36.0], shoonya_1sAYEKP1ZEGAI5, 5651496]
[paragraph, [305.0, 357.0, 1009.0, 36.0], shoonya_1sAYEKP1ZEGAI5, 5651496]
[paragraph, [305.0, 393.0, 1009.0, 36.0], shoonya_1sAYEKP1ZEGAI5, 5651496]
[paragraph, [305.0, 429.0, 1009.0, 36.0], shoonya_1sAYEKP1ZEGAI5, 5651496]
[paragraph, [290.0, 496.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 532.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 568.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 604.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 640.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 676.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 712.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 748.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 784.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 820.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 856.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 892.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 928.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 964.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1000.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1036.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1072.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1108.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1144.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1180.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1216.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1252.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1288.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1324.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1360.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1396.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1432.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1468.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1504.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1540.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1576.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1612.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1648.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1684.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1720.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1756.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1792.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[paragraph, [290.0, 1828.0, 1046.0, 36.0], shoonya_0s4QHFMZYA828T, 5651496]
[folio, [367.0, 1904.0, 108.0, 36.0], S79ZonUh1w, 5651496]
