[1634, 1040]
[folio, [429.0, 94.0, 179.0, 36.0], shoonya_5sHYI2P0BW6TS0, 5730968]
[paragraph, [90.0, 169.0, 851.0, 36.0], shoonya_1s8OWMP3SLB963, 5730968]
[paragraph, [90.0, 205.0, 851.0, 36.0], shoonya_1s8OWMP3SLB963, 5730968]
[paragraph, [90.0, 241.0, 851.0, 36.0], shoonya_1s8OWMP3SLB963, 5730968]
[paragraph, [90.0, 277.0, 851.0, 36.0], shoonya_1s8OWMP3SLB963, 5730968]
[paragraph, [90.0, 313.0, 851.0, 36.0], shoonya_1s8OWMP3SLB963, 5730968]
[paragraph, [90.0, 349.0, 851.0, 36.0], shoonya_1s8OWMP3SLB963, 5730968]
[paragraph, [90.0, 385.0, 851.0, 36.0], shoonya_1s8OWMP3SLB963, 5730968]
[paragraph, [93.0, 444.0, 850.0, 36.0], shoonya_4sJHVZHZ540WL4, 5730968]
[paragraph, [93.0, 480.0, 850.0, 36.0], shoonya_4sJHVZHZ540WL4, 5730968]
[paragraph, [93.0, 516.0, 850.0, 36.0], shoonya_4sJHVZHZ540WL4, 5730968]
[paragraph, [93.0, 552.0, 850.0, 36.0], shoonya_4sJHVZHZ540WL4, 5730968]
[paragraph, [93.0, 588.0, 850.0, 36.0], shoonya_4sJHVZHZ540WL4, 5730968]
[paragraph, [88.0, 635.0, 854.0, 36.0], shoonya_7sYFKXS7E7ZCYZ, 5730968]
[paragraph, [88.0, 671.0, 854.0, 36.0], shoonya_7sYFKXS7E7ZCYZ, 5730968]
[paragraph, [88.0, 707.0, 854.0, 36.0], shoonya_7sYFKXS7E7ZCYZ, 5730968]
[paragraph, [88.0, 743.0, 854.0, 36.0], shoonya_7sYFKXS7E7ZCYZ, 5730968]
[paragraph, [88.0, 779.0, 854.0, 36.0], shoonya_7sYFKXS7E7ZCYZ, 5730968]
[paragraph, [88.0, 815.0, 854.0, 36.0], shoonya_7sYFKXS7E7ZCYZ, 5730968]
[paragraph, [94.0, 856.0, 850.0, 36.0], shoonya_6s5S7FTDNHHU3J, 5730968]
[paragraph, [94.0, 892.0, 850.0, 36.0], shoonya_6s5S7FTDNHHU3J, 5730968]
[paragraph, [94.0, 928.0, 850.0, 36.0], shoonya_6s5S7FTDNHHU3J, 5730968]
[paragraph, [92.0, 993.0, 858.0, 36.0], shoonya_3s133IGMDZCM7Q, 5730968]
[paragraph, [92.0, 1029.0, 858.0, 36.0], shoonya_3s133IGMDZCM7Q, 5730968]
[paragraph, [92.0, 1065.0, 858.0, 36.0], shoonya_3s133IGMDZCM7Q, 5730968]
[paragraph, [98.0, 1123.0, 846.0, 36.0], shoonya_0sYOZB6A97RJKN, 5730968]
[paragraph, [98.0, 1159.0, 846.0, 36.0], shoonya_0sYOZB6A97RJKN, 5730968]
[paragraph, [98.0, 1195.0, 846.0, 36.0], shoonya_0sYOZB6A97RJKN, 5730968]
[paragraph, [98.0, 1231.0, 846.0, 36.0], shoonya_0sYOZB6A97RJKN, 5730968]
[paragraph, [98.0, 1267.0, 846.0, 36.0], shoonya_0sYOZB6A97RJKN, 5730968]
[paragraph, [98.0, 1303.0, 846.0, 36.0], shoonya_0sYOZB6A97RJKN, 5730968]
[paragraph, [96.0, 1350.0, 853.0, 36.0], shoonya_2s8YN2O0JO750E, 5730968]
[paragraph, [96.0, 1386.0, 853.0, 36.0], shoonya_2s8YN2O0JO750E, 5730968]
[paragraph, [96.0, 1422.0, 853.0, 36.0], shoonya_2s8YN2O0JO750E, 5730968]
[paragraph, [96.0, 1458.0, 853.0, 36.0], shoonya_2s8YN2O0JO750E, 5730968]
[paragraph, [96.0, 1494.0, 853.0, 36.0], shoonya_2s8YN2O0JO750E, 5730968]
