[1267, 753]
[folio, [332.0, 69.0, 96.0, 18.0], y16fJNcdOq, 5699339]
[paragraph, [67.0, 121.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 139.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 157.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 175.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 193.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 211.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 229.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 247.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 265.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 283.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 301.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 319.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 337.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 355.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 373.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 391.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 409.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 427.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 445.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 463.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
[paragraph, [67.0, 481.0, 609.0, 18.0], shoonya_0sV4EI7SLKJESZ, 5699339]
