[3509, 2482]
[folio, [846.0, 207.0, 459.0, 52.5], fcOSlgBeC3, 5691783]
[folio, [846.0, 259.5, 459.0, 52.5], fcOSlgBeC3, 5691783]
[paragraph, [276.0, 331.0, 831.0, 52.5], _U2_K8A4Px, 5691783]
[paragraph, [235.0, 409.0, 1451.0, 52.5], jJ6Ibd0pD3, 5691783]
[paragraph, [161.0, 493.0, 1873.0, 52.5], -uJMpDi8qh, 5691783]
[paragraph, [161.0, 545.5, 1873.0, 52.5], -uJMpDi8qh, 5691783]
[paragraph, [161.0, 598.0, 1873.0, 52.5], -uJMpDi8qh, 5691783]
[paragraph, [161.0, 650.5, 1873.0, 52.5], -uJMpDi8qh, 5691783]
[paragraph, [155.0, 725.0, 1877.0, 52.5], njzGAl51bb, 5691783]
[paragraph, [155.0, 777.5, 1877.0, 52.5], njzGAl51bb, 5691783]
[paragraph, [155.0, 830.0, 1877.0, 52.5], njzGAl51bb, 5691783]
[paragraph, [155.0, 882.5, 1877.0, 52.5], njzGAl51bb, 5691783]
[paragraph, [145.0, 940.0, 1923.0, 52.5], RfQMPzp9dx, 5691783]
[paragraph, [145.0, 992.5, 1923.0, 52.5], RfQMPzp9dx, 5691783]
[paragraph, [145.0, 1045.0, 1923.0, 52.5], RfQMPzp9dx, 5691783]
[paragraph, [145.0, 1097.5, 1923.0, 52.5], RfQMPzp9dx, 5691783]
[paragraph, [145.0, 1150.0, 1923.0, 52.5], RfQMPzp9dx, 5691783]
[paragraph, [145.0, 1202.5, 1923.0, 52.5], RfQMPzp9dx, 5691783]
[paragraph, [158.0, 1272.0, 1926.0, 52.5], zLqi7Gdz_O, 5691783]
[paragraph, [158.0, 1324.5, 1926.0, 52.5], zLqi7Gdz_O, 5691783]
[paragraph, [158.0, 1377.0, 1926.0, 52.5], zLqi7Gdz_O, 5691783]
[paragraph, [164.0, 1420.0, 1901.0, 52.5], MkBn4s-SDd, 5691783]
[paragraph, [164.0, 1472.5, 1901.0, 52.5], MkBn4s-SDd, 5691783]
[paragraph, [164.0, 1525.0, 1901.0, 52.5], MkBn4s-SDd, 5691783]
[paragraph, [164.0, 1577.5, 1901.0, 52.5], MkBn4s-SDd, 5691783]
[paragraph, [164.0, 1630.0, 1901.0, 52.5], MkBn4s-SDd, 5691783]
[paragraph, [164.0, 1682.5, 1901.0, 52.5], MkBn4s-SDd, 5691783]
[paragraph, [164.0, 1735.0, 1901.0, 52.5], MkBn4s-SDd, 5691783]
[paragraph, [164.0, 1787.5, 1901.0, 52.5], MkBn4s-SDd, 5691783]
[paragraph, [164.0, 1840.0, 1901.0, 52.5], MkBn4s-SDd, 5691783]
[paragraph, [164.0, 1892.5, 1901.0, 52.5], MkBn4s-SDd, 5691783]
[paragraph, [170.0, 1970.0, 1892.0, 52.5], 1UDjTkzPLl, 5691783]
[paragraph, [170.0, 2022.5, 1892.0, 52.5], 1UDjTkzPLl, 5691783]
[paragraph, [170.0, 2075.0, 1892.0, 52.5], 1UDjTkzPLl, 5691783]
[paragraph, [170.0, 2127.5, 1892.0, 52.5], 1UDjTkzPLl, 5691783]
[paragraph, [170.0, 2180.0, 1892.0, 52.5], 1UDjTkzPLl, 5691783]
[paragraph, [170.0, 2232.5, 1892.0, 52.5], 1UDjTkzPLl, 5691783]
[paragraph, [183.0, 2277.0, 1855.0, 52.5], OYw6GMcx4j, 5691783]
[paragraph, [183.0, 2329.5, 1855.0, 52.5], OYw6GMcx4j, 5691783]
[paragraph, [183.0, 2382.0, 1855.0, 52.5], OYw6GMcx4j, 5691783]
[paragraph, [183.0, 2434.5, 1855.0, 52.5], OYw6GMcx4j, 5691783]
[paragraph, [183.0, 2487.0, 1855.0, 52.5], OYw6GMcx4j, 5691783]
[paragraph, [183.0, 2539.5, 1855.0, 52.5], OYw6GMcx4j, 5691783]
[paragraph, [183.0, 2592.0, 1855.0, 52.5], OYw6GMcx4j, 5691783]
[paragraph, [248.0, 2668.0, 1746.0, 52.5], Sy8ojHPL6e, 5691783]
[paragraph, [248.0, 2720.5, 1746.0, 52.5], Sy8ojHPL6e, 5691783]
[paragraph, [248.0, 2773.0, 1746.0, 52.5], Sy8ojHPL6e, 5691783]
[paragraph, [220.0, 2838.0, 1244.0, 52.5], 53BUG4v2tb, 5691783]
[paragraph, [220.0, 2890.5, 1244.0, 52.5], 53BUG4v2tb, 5691783]
[paragraph, [220.0, 2943.0, 1244.0, 52.5], 53BUG4v2tb, 5691783]
[paragraph, [204.0, 2993.0, 1908.0, 52.5], lxrFSsn83i, 5691783]
[paragraph, [204.0, 3045.5, 1908.0, 52.5], lxrFSsn83i, 5691783]
[paragraph, [204.0, 3098.0, 1908.0, 52.5], lxrFSsn83i, 5691783]
[paragraph, [283.0, 3158.0, 1760.0, 52.5], shoonya_0sLPA6T4V6AELS, 5691783]
[paragraph, [283.0, 3210.5, 1760.0, 52.5], shoonya_0sLPA6T4V6AELS, 5691783]
[paragraph, [283.0, 3263.0, 1760.0, 52.5], shoonya_0sLPA6T4V6AELS, 5691783]
