[2177, 1466]
[folio, [150.0, 150.0, 153.0, 36.0], GAx_prOLq5, 5655047]
[paragraph, [147.0, 260.0, 1166.0, 36.0], shoonya_4s3I1396E80TID, 5655047]
[paragraph, [147.0, 296.0, 1166.0, 36.0], shoonya_4s3I1396E80TID, 5655047]
[paragraph, [147.0, 332.0, 1166.0, 36.0], shoonya_4s3I1396E80TID, 5655047]
[paragraph, [147.0, 368.0, 1166.0, 36.0], shoonya_4s3I1396E80TID, 5655047]
[paragraph, [147.0, 404.0, 1166.0, 36.0], shoonya_4s3I1396E80TID, 5655047]
[paragraph, [147.0, 440.0, 1166.0, 36.0], shoonya_4s3I1396E80TID, 5655047]
[paragraph, [142.0, 530.0, 1177.0, 36.0], shoonya_6sDEJX47AYXY4D, 5655047]
[paragraph, [142.0, 566.0, 1177.0, 36.0], shoonya_6sDEJX47AYXY4D, 5655047]
[paragraph, [142.0, 602.0, 1177.0, 36.0], shoonya_6sDEJX47AYXY4D, 5655047]
[paragraph, [142.0, 638.0, 1177.0, 36.0], shoonya_6sDEJX47AYXY4D, 5655047]
[paragraph, [150.0, 704.0, 1167.0, 36.0], shoonya_0s572663FCQQHO, 5655047]
[paragraph, [150.0, 740.0, 1167.0, 36.0], shoonya_0s572663FCQQHO, 5655047]
[paragraph, [150.0, 776.0, 1167.0, 36.0], shoonya_0s572663FCQQHO, 5655047]
[paragraph, [150.0, 812.0, 1167.0, 36.0], shoonya_0s572663FCQQHO, 5655047]
[paragraph, [150.0, 848.0, 1167.0, 36.0], shoonya_0s572663FCQQHO, 5655047]
[paragraph, [150.0, 884.0, 1167.0, 36.0], shoonya_0s572663FCQQHO, 5655047]
[paragraph, [150.0, 920.0, 1167.0, 36.0], shoonya_0s572663FCQQHO, 5655047]
[paragraph, [150.0, 956.0, 1167.0, 36.0], shoonya_0s572663FCQQHO, 5655047]
[paragraph, [150.0, 992.0, 1167.0, 36.0], shoonya_0s572663FCQQHO, 5655047]
[paragraph, [150.0, 1028.0, 1167.0, 36.0], shoonya_0s572663FCQQHO, 5655047]
[paragraph, [150.0, 1064.0, 1167.0, 36.0], shoonya_0s572663FCQQHO, 5655047]
[paragraph, [150.0, 1100.0, 1167.0, 36.0], shoonya_0s572663FCQQHO, 5655047]
[paragraph, [149.0, 1202.0, 1167.0, 36.0], shoonya_2sKSIVFH23IPHG, 5655047]
[paragraph, [149.0, 1238.0, 1167.0, 36.0], shoonya_2sKSIVFH23IPHG, 5655047]
[paragraph, [149.0, 1274.0, 1167.0, 36.0], shoonya_2sKSIVFH23IPHG, 5655047]
[paragraph, [149.0, 1310.0, 1167.0, 36.0], shoonya_2sKSIVFH23IPHG, 5655047]
[paragraph, [149.0, 1346.0, 1167.0, 36.0], shoonya_2sKSIVFH23IPHG, 5655047]
[paragraph, [149.0, 1382.0, 1167.0, 36.0], shoonya_2sKSIVFH23IPHG, 5655047]
[paragraph, [149.0, 1418.0, 1167.0, 36.0], shoonya_2sKSIVFH23IPHG, 5655047]
[paragraph, [149.0, 1454.0, 1167.0, 36.0], shoonya_2sKSIVFH23IPHG, 5655047]
[paragraph, [148.0, 1525.0, 1173.0, 36.0], shoonya_3sGDSCSB10WBAO, 5655047]
[paragraph, [148.0, 1561.0, 1173.0, 36.0], shoonya_3sGDSCSB10WBAO, 5655047]
[paragraph, [148.0, 1597.0, 1173.0, 36.0], shoonya_3sGDSCSB10WBAO, 5655047]
[paragraph, [148.0, 1633.0, 1173.0, 36.0], shoonya_3sGDSCSB10WBAO, 5655047]
[paragraph, [148.0, 1669.0, 1173.0, 36.0], shoonya_3sGDSCSB10WBAO, 5655047]
[paragraph, [148.0, 1705.0, 1173.0, 36.0], shoonya_3sGDSCSB10WBAO, 5655047]
[paragraph, [148.0, 1741.0, 1173.0, 36.0], shoonya_3sGDSCSB10WBAO, 5655047]
[paragraph, [148.0, 1777.0, 1173.0, 36.0], shoonya_3sGDSCSB10WBAO, 5655047]
[paragraph, [148.0, 1813.0, 1173.0, 36.0], shoonya_3sGDSCSB10WBAO, 5655047]
[paragraph, [148.0, 1849.0, 1173.0, 36.0], shoonya_3sGDSCSB10WBAO, 5655047]
[reference, [153.0, 1964.0, 428.0, 36.0], shoonya_1s1LYUGUNAB56F, 5655047]
[reference, [153.0, 2000.0, 428.0, 36.0], shoonya_1s1LYUGUNAB56F, 5655047]
