[2339, 1653]
[folio, [1192.0, 314.0, 295.0, 36.0], shoonya_3sIOQEIIX4NWKX, 5738396]
[paragraph, [920.0, 388.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 424.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 460.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 496.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 532.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 568.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 604.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 640.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 676.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 712.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 748.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 784.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 820.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 856.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 892.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 928.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 964.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 1000.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 1036.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 1072.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
[paragraph, [920.0, 1108.0, 566.0, 36.0], shoonya_0s2SLQ9F90BFG7, 5738396]
