[2481, 1654]
[folio, [349.0, 107.0, 117.0, 36.0], aiRsWIVlaR, 5720948]
[paragraph, [226.0, 222.0, 1259.0, 36.0], shoonya_1s5UI17W1WP2F3, 5720948]
[paragraph, [226.0, 258.0, 1259.0, 36.0], shoonya_1s5UI17W1WP2F3, 5720948]
[paragraph, [226.0, 294.0, 1259.0, 36.0], shoonya_1s5UI17W1WP2F3, 5720948]
[paragraph, [226.0, 330.0, 1259.0, 36.0], shoonya_1s5UI17W1WP2F3, 5720948]
[paragraph, [221.0, 374.0, 1275.0, 36.0], 41J1ukS6_v, 5720948]
[paragraph, [221.0, 410.0, 1275.0, 36.0], 41J1ukS6_v, 5720948]
[paragraph, [221.0, 446.0, 1275.0, 36.0], 41J1ukS6_v, 5720948]
[paragraph, [221.0, 482.0, 1275.0, 36.0], 41J1ukS6_v, 5720948]
[paragraph, [229.0, 531.0, 1257.0, 36.0], zDWubs_U6I, 5720948]
[paragraph, [229.0, 567.0, 1257.0, 36.0], zDWubs_U6I, 5720948]
[paragraph, [227.0, 638.0, 1265.0, 36.0], yO2eZDhbtq, 5720948]
[paragraph, [227.0, 674.0, 1265.0, 36.0], yO2eZDhbtq, 5720948]
[paragraph, [223.0, 740.0, 1261.0, 36.0], uuEzPyl7fZ, 5720948]
[paragraph, [223.0, 776.0, 1261.0, 36.0], uuEzPyl7fZ, 5720948]
[paragraph, [223.0, 812.0, 1261.0, 36.0], uuEzPyl7fZ, 5720948]
[paragraph, [223.0, 848.0, 1261.0, 36.0], uuEzPyl7fZ, 5720948]
[paragraph, [227.0, 895.0, 1259.0, 36.0], yrFqjf2yW9, 5720948]
[paragraph, [227.0, 931.0, 1259.0, 36.0], yrFqjf2yW9, 5720948]
[paragraph, [227.0, 967.0, 1259.0, 36.0], yrFqjf2yW9, 5720948]
[paragraph, [227.0, 1003.0, 1259.0, 36.0], yrFqjf2yW9, 5720948]
[paragraph, [227.0, 1039.0, 1259.0, 36.0], yrFqjf2yW9, 5720948]
[paragraph, [210.0, 1104.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1140.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1176.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1212.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1248.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1284.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1320.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1356.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1392.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1428.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1464.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1500.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1536.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [210.0, 1572.0, 1285.0, 36.0], 5mq9W6gUJb, 5720948]
[paragraph, [229.0, 1620.0, 1266.0, 36.0], shoonya_4s2NX2PJZ4M26O, 5720948]
[paragraph, [229.0, 1656.0, 1266.0, 36.0], shoonya_4s2NX2PJZ4M26O, 5720948]
[paragraph, [229.0, 1692.0, 1266.0, 36.0], shoonya_4s2NX2PJZ4M26O, 5720948]
[paragraph, [229.0, 1728.0, 1266.0, 36.0], shoonya_4s2NX2PJZ4M26O, 5720948]
[paragraph, [229.0, 1764.0, 1266.0, 36.0], shoonya_4s2NX2PJZ4M26O, 5720948]
[paragraph, [226.0, 1831.0, 1263.0, 36.0], shoonya_3sR3P24ID0JQ0L, 5720948]
[paragraph, [226.0, 1867.0, 1263.0, 36.0], shoonya_3sR3P24ID0JQ0L, 5720948]
[paragraph, [212.0, 1938.0, 1289.0, 36.0], shoonya_2sVOL146TS3RIE, 5720948]
[paragraph, [212.0, 1974.0, 1289.0, 36.0], shoonya_2sVOL146TS3RIE, 5720948]
[paragraph, [212.0, 2010.0, 1289.0, 36.0], shoonya_2sVOL146TS3RIE, 5720948]
[paragraph, [212.0, 2046.0, 1289.0, 36.0], shoonya_2sVOL146TS3RIE, 5720948]
[paragraph, [212.0, 2082.0, 1289.0, 36.0], shoonya_2sVOL146TS3RIE, 5720948]
[paragraph, [212.0, 2118.0, 1289.0, 36.0], shoonya_2sVOL146TS3RIE, 5720948]
[paragraph, [212.0, 2154.0, 1289.0, 36.0], shoonya_2sVOL146TS3RIE, 5720948]
