[2339, 1653]
[paragraph, [324.0, 163.0, 1137.0, 36.0], shoonya_2sGHY2EHPI3UW7, 5733845]
[paragraph, [324.0, 199.0, 1137.0, 36.0], shoonya_2sGHY2EHPI3UW7, 5733845]
[paragraph, [326.0, 278.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 314.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 350.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 386.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 422.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 458.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 494.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 530.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 566.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 602.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 638.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 674.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 710.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 746.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [326.0, 782.0, 1135.0, 36.0], shoonya_1s1IUSU1L1TRKR, 5733845]
[paragraph, [324.0, 829.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 865.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 901.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 937.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 973.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1009.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1045.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1081.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1117.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1153.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1189.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1225.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1261.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1297.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1333.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1369.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1405.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1441.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1477.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1513.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1549.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1585.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1621.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1657.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1693.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1729.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1765.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1801.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1837.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1873.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1909.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [324.0, 1945.0, 1136.0, 36.0], shoonya_0s3H8PRXNVN4IZ, 5733845]
[paragraph, [326.0, 1998.0, 1134.0, 36.0], shoonya_3sOJY84I8S00XT, 5733845]
[paragraph, [326.0, 2034.0, 1134.0, 36.0], shoonya_3sOJY84I8S00XT, 5733845]
[paragraph, [326.0, 2070.0, 1134.0, 36.0], shoonya_3sOJY84I8S00XT, 5733845]
[paragraph, [326.0, 2106.0, 1134.0, 36.0], shoonya_3sOJY84I8S00XT, 5733845]
[folio, [1126.0, 2159.0, 274.0, 36.0], g0GPO9zCrF, 5733845]
