[720, 504]
[folio, [405.0, 87.0, 61.0, 18.0], 1sxxREOy8N, 5651919]
[paragraph, [49.0, 109.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 127.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 145.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 163.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 181.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 199.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 217.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 235.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 253.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 271.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 289.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 307.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 325.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 343.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 361.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 379.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 397.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 415.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 433.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 451.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 469.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 487.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 505.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 523.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 541.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 559.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 577.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 595.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [49.0, 613.0, 209.0, 18.0], shoonya_0sVX52MVMVCA9T, 5651919]
[paragraph, [265.0, 111.0, 211.0, 18.0], shoonya_2sEH6Z4BBBO9YJ, 5651919]
[paragraph, [265.0, 129.0, 211.0, 18.0], shoonya_2sEH6Z4BBBO9YJ, 5651919]
[paragraph, [265.0, 147.0, 211.0, 18.0], shoonya_2sEH6Z4BBBO9YJ, 5651919]
[paragraph, [265.0, 165.0, 211.0, 18.0], shoonya_2sEH6Z4BBBO9YJ, 5651919]
[paragraph, [265.0, 183.0, 211.0, 18.0], shoonya_2sEH6Z4BBBO9YJ, 5651919]
[paragraph, [264.0, 208.0, 209.0, 18.0], shoonya_1sTXCIP7GTK6DJ, 5651919]
[paragraph, [264.0, 226.0, 209.0, 18.0], shoonya_1sTXCIP7GTK6DJ, 5651919]
[paragraph, [264.0, 244.0, 209.0, 18.0], shoonya_1sTXCIP7GTK6DJ, 5651919]
[paragraph, [264.0, 262.0, 209.0, 18.0], shoonya_1sTXCIP7GTK6DJ, 5651919]
[paragraph, [264.0, 280.0, 209.0, 18.0], shoonya_1sTXCIP7GTK6DJ, 5651919]
[paragraph, [264.0, 298.0, 209.0, 18.0], shoonya_1sTXCIP7GTK6DJ, 5651919]
[paragraph, [264.0, 316.0, 209.0, 18.0], shoonya_1sTXCIP7GTK6DJ, 5651919]
[paragraph, [264.0, 334.0, 209.0, 18.0], shoonya_1sTXCIP7GTK6DJ, 5651919]
[paragraph, [264.0, 352.0, 209.0, 18.0], shoonya_1sTXCIP7GTK6DJ, 5651919]
