[1578, 1028]
[chapter-title, [366.0, 159.0, 329.0, 58.5], shoonya_5sWZ2INYLUOOFK, 5750145]
[chapter-title, [366.0, 217.5, 329.0, 58.5], shoonya_5sWZ2INYLUOOFK, 5750145]
[paragraph, [86.0, 301.0, 871.0, 36.0], shoonya_0sBQ4RPRPIAM3N, 5750145]
[paragraph, [86.0, 337.0, 871.0, 36.0], shoonya_0sBQ4RPRPIAM3N, 5750145]
[paragraph, [86.0, 373.0, 871.0, 36.0], shoonya_0sBQ4RPRPIAM3N, 5750145]
[paragraph, [86.0, 409.0, 871.0, 36.0], shoonya_0sBQ4RPRPIAM3N, 5750145]
[paragraph, [86.0, 445.0, 871.0, 36.0], shoonya_0sBQ4RPRPIAM3N, 5750145]
[paragraph, [86.0, 481.0, 871.0, 36.0], shoonya_0sBQ4RPRPIAM3N, 5750145]
[paragraph, [86.0, 517.0, 871.0, 36.0], shoonya_0sBQ4RPRPIAM3N, 5750145]
[paragraph, [86.0, 553.0, 871.0, 36.0], shoonya_0sBQ4RPRPIAM3N, 5750145]
[paragraph, [86.0, 589.0, 871.0, 36.0], shoonya_0sBQ4RPRPIAM3N, 5750145]
[paragraph, [86.0, 625.0, 871.0, 36.0], shoonya_0sBQ4RPRPIAM3N, 5750145]
[paragraph, [87.0, 696.0, 868.0, 36.0], shoonya_2s1KIS8XJT1GWJ, 5750145]
[paragraph, [87.0, 732.0, 868.0, 36.0], shoonya_2s1KIS8XJT1GWJ, 5750145]
[paragraph, [87.0, 768.0, 868.0, 36.0], shoonya_2s1KIS8XJT1GWJ, 5750145]
[paragraph, [87.0, 804.0, 868.0, 36.0], shoonya_2s1KIS8XJT1GWJ, 5750145]
[paragraph, [87.0, 840.0, 868.0, 36.0], shoonya_2s1KIS8XJT1GWJ, 5750145]
[paragraph, [85.0, 910.0, 866.0, 36.0], shoonya_1sV64JYDRCLC3U, 5750145]
[paragraph, [85.0, 946.0, 866.0, 36.0], shoonya_1sV64JYDRCLC3U, 5750145]
[paragraph, [85.0, 982.0, 866.0, 36.0], shoonya_1sV64JYDRCLC3U, 5750145]
[paragraph, [85.0, 1018.0, 866.0, 36.0], shoonya_1sV64JYDRCLC3U, 5750145]
[paragraph, [85.0, 1054.0, 866.0, 36.0], shoonya_1sV64JYDRCLC3U, 5750145]
[paragraph, [85.0, 1090.0, 866.0, 36.0], shoonya_1sV64JYDRCLC3U, 5750145]
[paragraph, [85.0, 1126.0, 866.0, 36.0], shoonya_1sV64JYDRCLC3U, 5750145]
[paragraph, [85.0, 1162.0, 866.0, 36.0], shoonya_1sV64JYDRCLC3U, 5750145]
[paragraph, [142.0, 1220.0, 816.0, 36.0], shoonya_6s177FCPH70HZ4, 5750145]
[unordered-list, [84.0, 1299.0, 868.0, 36.0], shoonya_7s0VW0VUEZ1YQB, 5750145]
[unordered-list, [84.0, 1335.0, 868.0, 36.0], shoonya_7s0VW0VUEZ1YQB, 5750145]
[unordered-list, [84.0, 1371.0, 868.0, 36.0], shoonya_7s0VW0VUEZ1YQB, 5750145]
