[1787, 1218]
[headline, [264.0, 275.0, 692.0, 37.5], 52Kdo-VbzY, 5650895]
[author, [918.0, 372.0, 193.0, 36.0], KLTk2yg7ps, 5650895]
[paragraph, [91.0, 462.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 498.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 534.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 570.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 606.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 642.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 678.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 714.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 750.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 786.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 822.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 858.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 894.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 930.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 966.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [91.0, 1002.0, 1039.0, 36.0], shoonya_1sVPLFR8LHC7VS, 5650895]
[paragraph, [82.0, 1037.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1073.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1109.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1145.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1181.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1217.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1253.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1289.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1325.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1361.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1397.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1433.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1469.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[paragraph, [82.0, 1505.0, 1038.0, 36.0], shoonya_2sNVAK81LQW5KY, 5650895]
[ordered-list, [105.0, 1561.0, 1015.0, 36.0], shoonya_0sUJV1E2W7QHLY, 5650895]
