[1752, 1240]
[placeholder-text, [809.0, 241.0, 341.0, 18.0], QGOwrRWBg1, 5708159]
[placeholder-text, [809.0, 259.0, 341.0, 18.0], QGOwrRWBg1, 5708159]
[placeholder-text, [809.0, 277.0, 341.0, 18.0], QGOwrRWBg1, 5708159]
[section-title, [483.0, 271.0, 277.0, 49.5], MotWNZhKVA, 5708159]
[section-title, [483.0, 320.5, 277.0, 49.5], MotWNZhKVA, 5708159]
[section-title, [483.0, 370.0, 277.0, 49.5], MotWNZhKVA, 5708159]
[second-level-question, [187.0, 657.0, 753.0, 36.0], -ePGMwDSjN, 5708159]
[second-level-question, [187.0, 693.0, 753.0, 36.0], -ePGMwDSjN, 5708159]
[second-level-question, [187.0, 729.0, 753.0, 36.0], -ePGMwDSjN, 5708159]
[second-level-question, [187.0, 765.0, 753.0, 36.0], -ePGMwDSjN, 5708159]
[third-level-question, [234.0, 696.0, 695.0, 18.0], PVC2xXbO_C, 5708159]
[third-level-question, [234.0, 714.0, 695.0, 18.0], PVC2xXbO_C, 5708159]
[third-level-question, [241.0, 741.0, 694.0, 18.0], YR08phZRzZ, 5708159]
[third-level-question, [246.0, 784.0, 483.0, 18.0], k-Rc4llEXs, 5708159]
[second-level-question, [178.0, 837.0, 734.0, 36.0], 7pTOhAp9Lw, 5708159]
[second-level-question, [178.0, 873.0, 734.0, 36.0], 7pTOhAp9Lw, 5708159]
[second-level-question, [178.0, 909.0, 734.0, 36.0], 7pTOhAp9Lw, 5708159]
[second-level-question, [178.0, 945.0, 734.0, 36.0], 7pTOhAp9Lw, 5708159]
[third-level-question, [238.0, 866.0, 440.0, 18.0], IET_Oj8L4Q, 5708159]
[third-level-question, [237.0, 907.0, 664.0, 18.0], BEFBCgzz1G, 5708159]
[third-level-question, [237.0, 925.0, 664.0, 18.0], BEFBCgzz1G, 5708159]
[third-level-question, [237.0, 956.0, 647.0, 18.0], dgelP8a9fR, 5708159]
[second-level-question, [235.0, 1105.0, 846.0, 36.0], shoonya_0sVU4VJ95GTCV9, 5708159]
[second-level-question, [178.0, 1187.0, 899.0, 36.0], SACKBvWR7J, 5708159]
[second-level-question, [178.0, 1223.0, 899.0, 36.0], SACKBvWR7J, 5708159]
[second-level-question, [178.0, 1259.0, 899.0, 36.0], SACKBvWR7J, 5708159]
[second-level-question, [178.0, 1295.0, 899.0, 36.0], SACKBvWR7J, 5708159]
[second-level-question, [178.0, 1331.0, 899.0, 36.0], SACKBvWR7J, 5708159]
[third-level-question, [237.0, 1223.0, 466.0, 18.0], v8h0aVUOVP, 5708159]
[third-level-question, [237.0, 1241.0, 466.0, 18.0], v8h0aVUOVP, 5708159]
[third-level-question, [240.0, 1268.0, 297.0, 18.0], PbWrE9GwHK, 5708159]
[third-level-question, [237.0, 1300.0, 841.0, 18.0], 9Elk5TD4bD, 5708159]
[third-level-question, [237.0, 1318.0, 841.0, 18.0], 9Elk5TD4bD, 5708159]
[third-level-question, [237.0, 1336.0, 841.0, 18.0], 9Elk5TD4bD, 5708159]
[third-level-question, [237.0, 1354.0, 841.0, 18.0], 9Elk5TD4bD, 5708159]
[second-level-question, [176.0, 1386.0, 675.0, 36.0], Sx9tk905Ty, 5708159]
[second-level-question, [176.0, 1422.0, 675.0, 36.0], Sx9tk905Ty, 5708159]
[second-level-question, [176.0, 1458.0, 675.0, 36.0], Sx9tk905Ty, 5708159]
[second-level-question, [176.0, 1494.0, 675.0, 36.0], Sx9tk905Ty, 5708159]
[third-level-question, [240.0, 1426.0, 257.0, 18.0], s9ziLcMOfd, 5708159]
[third-level-question, [230.0, 1466.0, 601.0, 18.0], GQ5nyf2gIX, 5708159]
[third-level-question, [230.0, 1484.0, 601.0, 18.0], GQ5nyf2gIX, 5708159]
[third-level-question, [234.0, 1502.0, 550.0, 18.0], FKjGVTMrKP, 5708159]
[third-level-question, [234.0, 1520.0, 550.0, 18.0], FKjGVTMrKP, 5708159]
