[612, 792]
[paragraph, [493.0, 51.0, 201.0, 18.0], 36yaNb0Boj, 6462298]
[sidebar, [275.0, 70.0, 76.0, 18.0], XAxgb1D7R4, 6462298]
[ordered-list, [40.0, 86.0, 334.0, 18.0], uQwzeL_D3u, 6462298]
[ordered-list, [40.0, 104.0, 334.0, 18.0], uQwzeL_D3u, 6462298]
[ordered-list, [40.0, 122.0, 334.0, 18.0], uQwzeL_D3u, 6462298]
[ordered-list, [40.0, 140.0, 334.0, 18.0], uQwzeL_D3u, 6462298]
[ordered-list, [40.0, 158.0, 334.0, 18.0], uQwzeL_D3u, 6462298]
[ordered-list, [437.0, 90.0, 314.0, 18.0], _5EkovrEIU, 6462298]
[ordered-list, [437.0, 108.0, 314.0, 18.0], _5EkovrEIU, 6462298]
[ordered-list, [437.0, 126.0, 314.0, 18.0], _5EkovrEIU, 6462298]
[ordered-list, [437.0, 144.0, 314.0, 18.0], _5EkovrEIU, 6462298]
[ordered-list, [437.0, 162.0, 314.0, 18.0], _5EkovrEIU, 6462298]
[ordered-list, [437.0, 180.0, 314.0, 18.0], _5EkovrEIU, 6462298]
[sub-ordered-list, [56.0, 102.0, 234.0, 18.0], gzB3JBv3HH, 6462298]
[sub-ordered-list, [56.0, 120.0, 234.0, 18.0], gzB3JBv3HH, 6462298]
[sub-ordered-list, [56.0, 138.0, 234.0, 18.0], gzB3JBv3HH, 6462298]
[sub-ordered-list, [450.0, 103.0, 298.0, 18.0], E1wKLiW6qe, 6462298]
[sub-ordered-list, [450.0, 121.0, 298.0, 18.0], E1wKLiW6qe, 6462298]
[sub-ordered-list, [450.0, 139.0, 298.0, 18.0], E1wKLiW6qe, 6462298]
[sub-ordered-list, [450.0, 157.0, 298.0, 18.0], E1wKLiW6qe, 6462298]
[paragraph, [493.0, 215.0, 201.0, 18.0], 7ENUppBdhY, 6462298]
[sidebar, [437.0, 231.0, 94.0, 18.0], KgbriHceTQ, 6462298]
[sidebar, [675.0, 233.0, 71.0, 18.0], hyTD16YagZ, 6462298]
[ordered-list, [35.0, 247.0, 319.0, 18.0], Oo2Q8yIEwo, 6462298]
[ordered-list, [35.0, 265.0, 319.0, 18.0], Oo2Q8yIEwo, 6462298]
[ordered-list, [35.0, 283.0, 319.0, 18.0], Oo2Q8yIEwo, 6462298]
[ordered-list, [35.0, 301.0, 319.0, 18.0], Oo2Q8yIEwo, 6462298]
[ordered-list, [35.0, 319.0, 319.0, 18.0], Oo2Q8yIEwo, 6462298]
[ordered-list, [437.0, 251.0, 311.0, 18.0], SUakjIGLMB, 6462298]
[ordered-list, [437.0, 269.0, 311.0, 18.0], SUakjIGLMB, 6462298]
[ordered-list, [437.0, 287.0, 311.0, 18.0], SUakjIGLMB, 6462298]
[ordered-list, [437.0, 305.0, 311.0, 18.0], SUakjIGLMB, 6462298]
[ordered-list, [437.0, 323.0, 311.0, 18.0], SUakjIGLMB, 6462298]
