[789, 571]
[folio, [254.0, 52.0, 75.0, 18.0], shoonya_3sXEK4PQ1AR0UE, 5701593]
[paragraph, [61.0, 89.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 107.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 125.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 143.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 161.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 179.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 197.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 215.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 233.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 251.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 269.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 287.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 305.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 323.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 341.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 359.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 377.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 395.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 413.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 431.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 449.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 467.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 485.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 503.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 521.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 539.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 557.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 575.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 593.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [61.0, 611.0, 469.0, 18.0], shoonya_0s1XL29ZP19HJ7, 5701593]
[paragraph, [54.0, 631.0, 480.0, 18.0], d-YWb1fpyz, 5701593]
[paragraph, [54.0, 649.0, 480.0, 18.0], d-YWb1fpyz, 5701593]
[paragraph, [54.0, 667.0, 480.0, 18.0], d-YWb1fpyz, 5701593]
[paragraph, [54.0, 685.0, 480.0, 18.0], d-YWb1fpyz, 5701593]
[paragraph, [54.0, 703.0, 480.0, 18.0], d-YWb1fpyz, 5701593]
[paragraph, [54.0, 721.0, 480.0, 18.0], d-YWb1fpyz, 5701593]
