[2175, 1462]
[folio, [156.0, 140.0, 158.0, 36.0], fsBCFym1RT, 5655283]
[paragraph, [158.0, 242.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 278.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 314.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 350.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 386.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 422.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 458.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 494.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 530.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 566.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 602.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 638.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 674.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 710.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 746.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 782.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 818.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 854.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 890.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 926.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 962.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 998.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [158.0, 1034.0, 1168.0, 36.0], shoonya_0s5Y7CXXQNTSDB, 5655283]
[paragraph, [159.0, 1129.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1165.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1201.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1237.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1273.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1309.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1345.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1381.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1417.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1453.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1489.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1525.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1561.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1597.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1633.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1669.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1705.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [159.0, 1741.0, 1166.0, 36.0], shoonya_1sWJIICH6U5OUI, 5655283]
[paragraph, [149.0, 1838.0, 1203.0, 36.0], shoonya_3s4AV37ISVWWI5, 5655283]
[paragraph, [149.0, 1874.0, 1203.0, 36.0], shoonya_3s4AV37ISVWWI5, 5655283]
[paragraph, [149.0, 1910.0, 1203.0, 36.0], shoonya_3s4AV37ISVWWI5, 5655283]
[paragraph, [149.0, 1946.0, 1203.0, 36.0], shoonya_3s4AV37ISVWWI5, 5655283]
[paragraph, [149.0, 1982.0, 1203.0, 36.0], shoonya_3s4AV37ISVWWI5, 5655283]
[paragraph, [149.0, 2018.0, 1203.0, 36.0], shoonya_3s4AV37ISVWWI5, 5655283]
