[612, 396]
[paragraph, [41.0, 60.0, 315.0, 18.0], shoonya_3s64KCXRUABPKH, 6517363]
[paragraph, [41.0, 78.0, 315.0, 18.0], shoonya_3s64KCXRUABPKH, 6517363]
[paragraph, [41.0, 96.0, 315.0, 18.0], shoonya_3s64KCXRUABPKH, 6517363]
[paragraph, [40.0, 131.0, 314.0, 18.0], shoonya_1sDT6B8VSFDOGY, 6517363]
[paragraph, [40.0, 149.0, 314.0, 18.0], shoonya_1sDT6B8VSFDOGY, 6517363]
[paragraph, [40.0, 167.0, 314.0, 18.0], shoonya_1sDT6B8VSFDOGY, 6517363]
[paragraph, [40.0, 185.0, 314.0, 18.0], shoonya_1sDT6B8VSFDOGY, 6517363]
[paragraph, [40.0, 203.0, 314.0, 18.0], shoonya_1sDT6B8VSFDOGY, 6517363]
[paragraph, [40.0, 221.0, 314.0, 18.0], shoonya_1sDT6B8VSFDOGY, 6517363]
[paragraph, [40.0, 239.0, 314.0, 18.0], shoonya_1sDT6B8VSFDOGY, 6517363]
[paragraph, [40.0, 257.0, 314.0, 18.0], shoonya_1sDT6B8VSFDOGY, 6517363]
[paragraph, [40.0, 316.0, 316.0, 18.0], shoonya_0sQD3XAV0WSXCH, 6517363]
[paragraph, [40.0, 334.0, 316.0, 18.0], shoonya_0sQD3XAV0WSXCH, 6517363]
[paragraph, [40.0, 352.0, 316.0, 18.0], shoonya_0sQD3XAV0WSXCH, 6517363]
[paragraph, [40.0, 370.0, 316.0, 18.0], shoonya_0sQD3XAV0WSXCH, 6517363]
[paragraph, [40.0, 388.0, 316.0, 18.0], shoonya_0sQD3XAV0WSXCH, 6517363]
[paragraph, [40.0, 406.0, 316.0, 18.0], shoonya_0sQD3XAV0WSXCH, 6517363]
[paragraph, [40.0, 424.0, 316.0, 18.0], shoonya_0sQD3XAV0WSXCH, 6517363]
[paragraph, [40.0, 442.0, 316.0, 18.0], shoonya_0sQD3XAV0WSXCH, 6517363]
[paragraph, [40.0, 460.0, 316.0, 18.0], shoonya_0sQD3XAV0WSXCH, 6517363]
[paragraph, [40.0, 478.0, 316.0, 18.0], shoonya_0sQD3XAV0WSXCH, 6517363]
[paragraph, [40.0, 496.0, 316.0, 18.0], shoonya_0sQD3XAV0WSXCH, 6517363]
[paragraph, [40.0, 514.0, 316.0, 18.0], shoonya_0sQD3XAV0WSXCH, 6517363]
